schema_version,protocol_hash,status,study,domain,truth,candidate,seed,n_observations,dimension,objective,deviance,gradient_norm,best_start,second_best_objective_gap,wall_seconds,jacobian_rank,aic,aicc,bic,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,ogic_p,ogic_e,d_obs,c_obs,prior_energy
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,10,25,9,-60.741296168847846,-160.00910598386537,7.030963860305716e-05,4,0.1407701352346109,52.547385400001076,9,-142.00910598386537,-130.00910598386537,-131.03922356005157,-146.9842610561236,-140.8766622641037,-134.76906347208381,-122.55386588804404,-151.91631481303784,-97.05219716961614,4.046395585413766,24.43039516807955,38.526513646169676
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,11,25,9,-60.69148336635442,-153.80821366381178,0.00026757077605574675,3,0.27644236355659757,53.5079138000001,9,-135.80821366381178,-123.80821366381178,-124.83833123999798,-141.0368596938955,-134.97923073592582,-128.92160177795614,-116.80634386201679,-145.8729252806762,-97.15245090083012,3.9676441915677803,24.230515831878716,32.42524693110294
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,12,25,9,-60.800583774087634,-155.97620503828387,3.176789034536952e-05,4,0.026510494281481556,54.49117630000546,9,-137.97620503828387,-125.97620503828387,-127.00632261447006,-143.22932973004959,-137.13313456565427,-131.03693940125896,-118.84454907246837,-148.05612610280258,-97.21638689059404,3.960039467740643,24.384780657581224,34.375037490108596
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,13,25,9,-56.3854950127386,-151.63942571219133,7.403496424311962e-05,1,0.0017337440779101598,51.72542819999944,9,-133.63942571219133,-121.63942571219133,-122.66954328837753,-139.22446065065722,-133.1391242248817,-127.0537877991062,-114.88311494755519,-143.92557420812318,-88.42964432237517,3.856925752034077,24.34134570310204,38.86843568671412
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,14,25,9,-61.074341337126626,-161.35612947476866,0.00010197158484066724,4,0.19017272986986455,51.91467420000117,9,-143.35612947476866,-131.35612947476866,-132.38624705095486,-148.49822915461988,-142.3779065385096,-136.2575839223993,-124.01693869017876,-153.367066820775,-97.66739220981214,3.994531326996829,24.481290464441123,39.207446800515406
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,15,25,9,-48.468483712227524,-140.1162993115083,0.0024382684713152945,0,0.10074516109653331,59.328326200004085,9,-122.1162993115083,-110.1162993115083,-111.1464168876945,-127.0826533386121,-120.99800184514909,-114.91335035168608,-102.74404736476006,-132.0180397438657,-72.598361450603,4.049129783821304,24.338605973852047,43.17933188705325
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,16,25,9,-61.64392413906822,-159.48036716479072,3.5243200145848965e-05,1,0.007254406612240416,55.08631189999869,9,-141.48036716479072,-129.48036716479072,-130.51048474097692,-146.61196126446313,-140.53902371861335,-134.46608617276357,-122.32021108106399,-151.48477702682416,-98.99609809473729,3.9977950689832857,24.29175018339914,36.19251888665429
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,17,25,9,-53.93375024070936,-144.9345271166924,4.778701570770558e-05,1,0.10504437685688117,55.48098430000391,9,-126.93452711669241,-114.93452711669241,-115.96464469287861,-132.01285102926002,-125.96058710527578,-119.90832318129152,-107.80379533332302,-136.9058383505071,-83.65844478548172,4.014344383092653,24.209055695936996,37.06702663527369
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,18,25,9,-62.62821524490744,-160.4836827327904,7.376995682329622e-05,2,0.32046313594202047,62.00319000000309,9,-142.4836827327904,-130.4836827327904,-131.5138003089766,-147.79407863536923,-141.72353648010824,-135.65299432484724,-123.51191001432528,-152.59918840133184,-100.97426186877092,3.9422471657292824,24.282168621043958,35.22725224297553
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,neural_rate,19,25,9,-57.699757507210506,-149.38138410778177,7.205410907332265e-05,2,0.22217343718341453,91.3238377000016,9,-131.38138410778177,-119.38138410778177,-120.41150168396797,-136.83067904029826,-130.8109491842008,-124.79121932810338,-112.75175961590848,-141.58319259599992,-91.32059559003123,3.8990957558909263,24.07891942438978,33.981869093360764
