dimension,observations,repeat,jacobian_seconds,gram_seconds,spectrum_seconds,tensor_megabytes
100,240,5,0.0007363999902736396,6.580000626854599e-05,0.0029511000029742718,0.260162353515625
100,240,6,0.0008010999881662428,7.070001447573304e-05,0.002870900003472343,0.260162353515625
100,240,7,0.0007702999864704907,8.379999781027436e-05,0.003010899992659688,0.260162353515625
100,240,8,0.0009239999926649034,8.140000863932073e-05,0.0030549000075552613,0.260162353515625
100,240,9,0.0007968000136315823,0.00011319998884573579,0.002917900012107566,0.260162353515625
100,240,10,0.0007899999909568578,6.890000076964498e-05,0.002906699985032901,0.260162353515625
100,240,11,0.0007581000099889934,7.650000043213367e-05,0.002855800004908815,0.260162353515625
100,240,12,0.0006969000096432865,7.059998461045325e-05,0.0031721999985165894,0.260162353515625
100,240,13,0.0007914000016171485,7.069998537190259e-05,0.0030620000034105033,0.260162353515625
100,240,14,0.0007964000105857849,6.609997944906354e-05,0.0028161000227555633,0.260162353515625
100,240,15,0.0007330999942496419,7.690000347793102e-05,0.0028729999903589487,0.260162353515625
100,240,16,0.0007581000099889934,7.20999960321933e-05,0.0031122999789658934,0.260162353515625
100,240,17,0.0007623000128660351,6.920000305399299e-05,0.002768599981209263,0.260162353515625
100,240,18,0.0007173000194597989,6.67999847792089e-05,0.002959400007966906,0.260162353515625
100,240,19,0.0007210999901872128,6.75999908708036e-05,0.002875200007110834,0.260162353515625
200,240,0,0.0010797000140883029,0.00011789999553002417,0.01667849998921156,0.67291259765625
200,240,1,0.0011245999776292592,0.00014859999646432698,0.015910400019492954,0.67291259765625
200,240,2,0.001116400002501905,0.0001247999898623675,0.015849599993089214,0.67291259765625
200,240,3,0.0010275999957229942,0.0001255999959539622,0.016218800010392442,0.67291259765625
200,240,4,0.001086999982362613,0.00012509999214671552,0.01621000000159256,0.67291259765625
200,240,5,0.00104010000359267,0.00012149999383836985,0.016489800007548183,0.67291259765625
200,240,6,0.0010409000096842647,0.00013649999164044857,0.015768999990541488,0.67291259765625
200,240,7,0.0010360000014770776,0.00011850000009872019,0.015872699994361028,0.67291259765625
200,240,8,0.0010118999925907701,0.00011079999967478216,0.016027000005124137,0.67291259765625
200,240,9,0.001038200018228963,0.0001286999904550612,0.01668430000427179,0.67291259765625
200,240,10,0.0010131000017281622,0.00011939997784793377,0.01579080001101829,0.67291259765625
200,240,11,0.0009960999886970967,0.0001289999927394092,0.016415299993241206,0.67291259765625
200,240,12,0.00104599999031052,0.00011480000102892518,0.01587709999876097,0.67291259765625
200,240,13,0.001056100009009242,0.00012729997979477048,0.01615100001799874,0.67291259765625
200,240,14,0.0009928000217769295,0.0001252999936696142,0.016228299995418638,0.67291259765625
200,240,15,0.000977999996393919,0.0001218999968841672,0.016449199989438057,0.67291259765625
200,240,16,0.0009959999879356474,0.00011839999933727086,0.016249600012088194,0.67291259765625
200,240,17,0.0011146000178996474,0.00011860000086016953,0.017040199978509918,0.67291259765625
200,240,18,0.0010436000011395663,0.0001221999991685152,0.016349899990018457,0.67291259765625
200,240,19,0.0010371000098530203,0.00012249997234903276,0.016048100020270795,0.67291259765625
