scenario,seed,criterion,truth,selected,correct
early_seir_infected_only,22,aicc,seir,sir,0
early_seir_infected_only,22,bic,seir,sir,0
early_seir_infected_only,22,gic_eff,seir,sir,0
early_seir_infected_only,22,gic_vol_025,seir,sir,0
early_seir_infected_only,22,gic_vol_050,seir,seir,1
early_seir_infected_only,22,gic_vol_100,seir,seir,1
early_seir_infected_only,22,ogic_e,seir,seir,1
early_seir_infected_only,23,aic,seir,sir,0
early_seir_infected_only,23,aicc,seir,sir,0
early_seir_infected_only,23,bic,seir,sir,0
early_seir_infected_only,23,gic_eff,seir,seir,1
early_seir_infected_only,23,gic_vol_025,seir,seir,1
early_seir_infected_only,23,gic_vol_050,seir,seir,1
early_seir_infected_only,23,gic_vol_100,seir,seir,1
early_seir_infected_only,23,ogic_e,seir,seir,1
early_seir_infected_only,24,aic,seir,sir,0
early_seir_infected_only,24,aicc,seir,sir,0
early_seir_infected_only,24,bic,seir,sir,0
early_seir_infected_only,24,gic_eff,seir,sir,0
early_seir_infected_only,24,gic_vol_025,seir,sir,0
early_seir_infected_only,24,gic_vol_050,seir,sir,0
early_seir_infected_only,24,gic_vol_100,seir,seir,1
early_seir_infected_only,24,ogic_e,seir,seir,1
early_seir_infected_only,25,aic,seir,sir,0
early_seir_infected_only,25,aicc,seir,sir,0
early_seir_infected_only,25,bic,seir,sir,0
early_seir_infected_only,25,gic_eff,seir,sir,0
early_seir_infected_only,25,gic_vol_025,seir,sir,0
early_seir_infected_only,25,gic_vol_050,seir,sir,0
early_seir_infected_only,25,gic_vol_100,seir,sir,0
early_seir_infected_only,25,ogic_e,seir,sir,0
early_seir_infected_only,26,aic,seir,sir,0
early_seir_infected_only,26,aicc,seir,sir,0
early_seir_infected_only,26,bic,seir,sir,0
early_seir_infected_only,26,gic_eff,seir,seir,1
early_seir_infected_only,26,gic_vol_025,seir,seir,1
early_seir_infected_only,26,gic_vol_050,seir,seir,1
early_seir_infected_only,26,gic_vol_100,seir,seir,1
early_seir_infected_only,26,ogic_e,seir,seir,1
early_seir_infected_only,27,aic,seir,sir,0
early_seir_infected_only,27,aicc,seir,sir,0
early_seir_infected_only,27,bic,seir,sir,0
early_seir_infected_only,27,gic_eff,seir,seir,1
early_seir_infected_only,27,gic_vol_025,seir,seir,1
early_seir_infected_only,27,gic_vol_050,seir,seir,1
early_seir_infected_only,27,gic_vol_100,seir,seir,1
early_seir_infected_only,27,ogic_e,seir,seir,1
early_seir_infected_only,28,aic,seir,sir,0
early_seir_infected_only,28,aicc,seir,sir,0
early_seir_infected_only,28,bic,seir,sir,0
early_seir_infected_only,28,gic_eff,seir,seir,1
early_seir_infected_only,28,gic_vol_025,seir,seir,1
early_seir_infected_only,28,gic_vol_050,seir,seir,1
early_seir_infected_only,28,gic_vol_100,seir,seir,1
early_seir_infected_only,28,ogic_e,seir,seir,1
early_seir_infected_only,29,aic,seir,tv_sir,0
early_seir_infected_only,29,aicc,seir,tv_sir,0
early_seir_infected_only,29,bic,seir,tv_sir,0
early_seir_infected_only,29,gic_eff,seir,tv_sir,0
early_seir_infected_only,29,gic_vol_025,seir,seir,1
early_seir_infected_only,29,gic_vol_050,seir,seir,1
early_seir_infected_only,29,gic_vol_100,seir,seir,1
early_seir_infected_only,29,ogic_e,seir,seir,1
early_seir_infected_only,30,aic,seir,seir,1
early_seir_infected_only,30,aicc,seir,seir,1
early_seir_infected_only,30,bic,seir,seir,1
early_seir_infected_only,30,gic_eff,seir,seir,1
early_seir_infected_only,30,gic_vol_025,seir,seir,1
early_seir_infected_only,30,gic_vol_050,seir,seir,1
early_seir_infected_only,30,gic_vol_100,seir,seir,1
early_seir_infected_only,30,ogic_e,seir,seir,1
early_seir_infected_only,31,aic,seir,sir,0
early_seir_infected_only,31,aicc,seir,sir,0
early_seir_infected_only,31,bic,seir,sir,0
early_seir_infected_only,31,gic_eff,seir,sir,0
early_seir_infected_only,31,gic_vol_025,seir,sir,0
early_seir_infected_only,31,gic_vol_050,seir,sir,0
early_seir_infected_only,31,gic_vol_100,seir,seir,1
early_seir_infected_only,31,ogic_e,seir,seir,1
early_seir_infected_only,32,aic,seir,sir,0
early_seir_infected_only,32,aicc,seir,sir,0
early_seir_infected_only,32,bic,seir,sir,0
early_seir_infected_only,32,gic_eff,seir,seir,1
early_seir_infected_only,32,gic_vol_025,seir,seir,1
early_seir_infected_only,32,gic_vol_050,seir,seir,1
early_seir_infected_only,32,gic_vol_100,seir,seir,1
early_seir_infected_only,32,ogic_e,seir,seir,1
early_seir_infected_only,33,aic,seir,sir,0
early_seir_infected_only,33,aicc,seir,sir,0
early_seir_infected_only,33,bic,seir,sir,0
early_seir_infected_only,33,gic_eff,seir,neural_ode_h2,0
early_seir_infected_only,33,gic_vol_025,seir,seir,1
early_seir_infected_only,33,gic_vol_050,seir,seir,1
early_seir_infected_only,33,gic_vol_100,seir,seir,1
early_seir_infected_only,33,ogic_e,seir,seir,1
early_seir_infected_only,34,aic,seir,sir,0
early_seir_infected_only,34,aicc,seir,sir,0
early_seir_infected_only,34,bic,seir,sir,0
early_seir_infected_only,34,gic_eff,seir,ude_sir_h2,0
early_seir_infected_only,34,gic_vol_025,seir,sir,0
early_seir_infected_only,34,gic_vol_050,seir,sir,0
early_seir_infected_only,34,gic_vol_100,seir,seir,1
early_seir_infected_only,34,ogic_e,seir,seir,1
early_seir_infected_only,35,aic,seir,sir,0
early_seir_infected_only,35,aicc,seir,sir,0
early_seir_infected_only,35,bic,seir,sir,0
early_seir_infected_only,35,gic_eff,seir,seir,1
