schema_version,protocol_hash,status,scenario,truth,candidate,seed,observation,noise,n_observations,dimension,objective,deviance,forecast_mse,gradient_norm,best_start,wall_seconds,second_best_objective_gap,jacobian_rank,aic,aicc,bic,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,ogic_p,ogic_e,d_obs,c_obs,prior_energy
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,35,infected,0.02,16,14,-25.761942112491674,-73.77518211226298,0.0076901153001513204,7.5042511711926e-06,4,75.64175209999667,9.496403663433739e-11,8,-45.77518211226298,374.224817887737,-34.95894000090605,-67.371525308709,-65.23703044982226,-63.102535590935524,-58.83354587316205,-69.15592015524187,-42.985904789436404,2.309630978510552,8.53797943554694,22.251297887279634
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,36,infected,0.02,16,14,-28.98550500391951,-82.66044690915065,0.008251237671908579,1.3287404949344798e-05,0,75.26587670002482,2.2501822627418733e-10,8,-54.66044690915065,365.33955309084934,-43.844204797793715,-76.50351743649843,-74.42978941540137,-72.35606139430432,-68.2086053521102,-78.21916110050142,-49.67609792345079,2.2206429043246168,8.294912084388228,24.68943690131163
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,37,infected,0.02,16,14,-29.18591746738474,-81.0082119750033,0.00753182245193669,1.6853642028048333e-05,2,85.2589522000053,2.4868995751603507e-11,8,-53.008211975003306,366.9917880249967,-42.19196986364637,-74.69168549002845,-72.5643850390012,-70.43708458797394,-66.18248368591942,-76.4518012572448,-49.862633130660456,2.2782053588792577,8.509201804109024,22.63637704023382
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,38,infected,0.02,16,14,-30.537000715355862,-83.95114678729992,0.0055203498408227655,2.39226670798317e-05,1,87.54602340000565,4.780531526193954e-11,8,-55.95114678729992,364.04885321270007,-45.134904675942984,-77.49764881164494,-75.26764502558784,-73.03764123953074,-68.57763366741656,-79.29593202436772,-52.153986286483345,2.3276073814661027,8.92001514422838,22.877145356588194
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,39,infected,0.02,16,14,-31.890248439814158,-83.80760763353521,0.008758860592359153,2.5590996610810056e-05,1,89.76677239997662,1.88641990916949e-10,8,-55.80760763353521,364.1923923664648,-44.99136552217828,-77.59392382340549,-75.49301484374695,-73.39210586408842,-69.19028790477134,-79.32538222427212,-55.37686096099417,2.241112704631547,8.403635918634144,20.027110753906896
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,40,infected,0.02,16,14,-28.088663829254685,-77.36385279765699,0.004640158743203232,3.6497952006408255e-05,3,87.27869840001222,3.326761088828789e-11,8,-49.36385279765699,370.636147202343,-38.547610686300054,-70.63609250540824,-68.3247981128297,-66.01350372025114,-61.390914935094045,-72.51079959269852,-46.93215008819517,2.426526602479237,9.245177570314201,21.186525139147623
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,41,infected,0.02,16,14,-25.400951479457532,-71.46247659417241,0.007654290853653572,2.8880664783115903e-05,1,81.51208429998951,7.616307584612514e-11,8,-43.462476594172415,376.5375234058276,-32.64623448281548,-65.20251151624718,-63.053655100167774,-60.90479868408836,-56.60708585192953,-66.946866307142,-42.20647729459741,2.2578051435152044,8.595425664317652,20.66057363525735
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,42,infected,0.02,16,14,-26.011923195334518,-73.12145499985445,0.007067363285894489,3.18238632689439e-05,1,78.3090128999902,4.034816925013729e-11,8,-45.12145499985445,374.87854500014555,-34.305212888497515,-66.84314533616009,-64.68604847718424,-62.52895161820839,-58.214757900256686,-68.5926118913659,-43.39545895476563,2.264421554244275,8.628387435903406,21.09760860918541
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,43,infected,0.02,16,14,-29.189406705145725,-80.9103975659233,0.005489889603618754,6.824742505873486e-06,3,72.14260729998932,1.2380851899251866e-10,8,-52.910397565923304,367.0896024340767,-42.09415545456637,-74.32044591918685,-72.07883932507275,-69.83723273095863,-65.35401954273041,-76.15675228570093,-49.41238703383502,2.3768226401111834,8.966426376456436,22.531584155631855
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,44,infected,0.02,16,14,-27.65598303455348,-82.72397988594626,0.00500078295759371,1.624630861287689e-05,1,79.89298299999791,5.85792143681374e-08,10,-54.723979885946264,365.2760201140537,-43.90773777458933,-75.62087864444469,-73.32753575178877,-71.03419285913286,-66.44750707382103,-77.60017541792298,-46.13859449848329,2.56190223401164,9.173371570623663,27.412013816839305
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,45,infected,0.02,16,14,-33.908995550566104,-87.98982225123514,0.007545200207693843,2.632720941915361e-05,4,78.0295996000059,4.723688107333146e-11,8,-59.98982225123514,360.0101777487649,-49.173580139878204,-81.49654273501957,-79.32087600361203,-77.1452092722045,-72.79387580938942,-83.3059111726601,-59.115324175502046,2.3419555392875204,8.70266692563016,20.171831150102935
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,46,infected,0.02,16,14,-24.25630487052507,-73.00581178239071,0.006735174484251805,1.167703740726299e-05,4,75.5736123000097,2.2804158561484655e-10,8,-45.00581178239071,374.9941882176093,-34.18956967103377,-66.77080488594075,-64.61665398451002,-62.462503083079284,-58.15420128021782,-68.50820501768229,-39.89600613532721,2.248803382354209,8.616603605722927,24.49320204134057
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,47,infected,0.02,16,14,-30.094573079895817,-79.27654272101199,0.010143375662704046,2.1636331245321287e-05,0,81.43428580000182,1.1184297932231857e-10,8,-51.27654272101199,368.723457278988,-40.46030060965506,-73.25017369048773,-71.21075040149044,-69.17132711249315,-65.09248053449856,-74.9294363635599,-52.031453003802476,2.173553178726047,8.15769315598916,19.087396561220363
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,48,infected,0.02,16,14,-25.261841638975337,-74.43572807373661,0.006898886592175593,2.6508568986136297e-05,0,86.35059790001833,6.370015626089298e-12,8,-46.43572807373661,373.56427192626336,-35.61948596237968,-67.99931141591351,-65.84318098853498,-63.68705056115644,-59.37478970639937,-69.79283487706836,-41.89916156843654,2.3214465983341253,8.624521709514138,23.91204479578594
