scenario,seed,method,mse,log_score,coverage90,mean_width90,within_variance,between_variance,weight_sir,weight_tv_sir,weight_ude_sir_h2,weight_neural_ode_h2
early_seir_infected_only,7,gic_evid,0.0023269595588534865,1.620771238734071,1.0,0.12531249360798494,0.0015962769242452229,3.9585955532307613e-07,0.4873082960311986,0.03504514181870248,0.4776438030706149,2.759079484122999e-06
early_seir_infected_only,7,stacking,0.0023242790192666445,1.6182557353110674,1.0,0.12466850670309926,0.0015813406400165889,3.6421123118862533e-13,0.9999999966660964,1.2300351089832433e-10,3.083594510481483e-09,1.273054396061849e-10
early_seir_infected_only,7,hard_gic_pred,0.002308361099583379,1.6232026506240864,1.0,0.1248366876706608,0.0015863864408971855,0.0,0.0,0.0,1.0,0.0
early_seir_infected_only,8,equal,0.001003112235843002,1.9107709173407628,1.0,0.1681289935188491,0.0018467707336661358,0.0009145692181329886,0.25,0.25,0.25,0.25
early_seir_infected_only,8,aic,0.00017107547288172783,2.248644913475298,1.0,0.1426065437639352,0.002083276936324246,2.5772094042582952e-05,0.8376430308184715,0.16225196805524378,0.00010350129605739785,1.4998302273959372e-06
early_seir_infected_only,8,bic,0.00014371865389172355,2.2771193159655554,1.0,0.13926919317583888,0.0020014301872292657,1.4285721672094525e-05,0.9178877112638302,0.0821087669954482,3.505797115097019e-06,1.5943606421947812e-08
early_seir_infected_only,8,gic_evid,0.00012619092805765932,2.2955357338564806,1.0,0.1371958584477759,0.0019531117483482438,6.042479212948581e-06,0.48891918336361606,0.03246271546344707,0.4786160251020574,2.0760708795529607e-06
early_seir_infected_only,8,stacking,0.00011821827618441494,2.30801329815732,1.0,0.13568527413749448,0.0019175746150334302,8.144805701261904e-13,0.9999999961916102,2.0645905738936027e-10,3.4550958364219218e-09,1.4683500049415262e-10
early_seir_infected_only,8,hard_gic_pred,0.00011460639906670288,2.3079298774403676,1.0,0.1358331194032649,0.0019225608961767596,0.0,0.0,0.0,1.0,0.0
early_seir_infected_only,9,equal,0.00674416903396614,0.4954016723942611,0.16666666666666666,0.1346663172781569,0.001436899224843624,0.0002966968518028357,0.25,0.25,0.25,0.25
early_seir_infected_only,9,aic,0.005525187417026417,0.9206844292881674,0.3333333333333333,0.13458986076722126,0.001737664721792481,5.578441631108154e-05,0.6411933321266547,0.3587271369259718,7.911059990020558e-05,4.2034747324357816e-07
early_seir_infected_only,9,bic,0.005286908243041569,0.9104201128947906,0.3333333333333333,0.13193994859638483,0.0016960734081392273,3.956643328748872e-05,0.7946756178888259,0.20532134633613522,3.030721178746469e-06,5.053860137686594e-09
early_seir_infected_only,9,gic_evid,0.005082613655442569,0.8909257206119494,0.16666666666666666,0.12935638742068287,0.0016633647134363745,1.582039392852228e-05,0.4708292621274242,0.06994871492337039,0.459220449609586,1.5733396194611991e-06
early_seir_infected_only,9,stacking,0.004978292122770178,0.8770150931558346,0.16666666666666666,0.12796484840406072,0.0016491066293173563,2.7553128138095956e-13,1.0915242468931207e-08,1.626506466222492e-10,0.9999999887626264,1.59480320169113e-10
early_seir_infected_only,9,hard_gic_pred,0.0066448196037008885,0.8182058120886114,0.5,0.14100965463047932,0.0019115252554399822,0.0,0.0,1.0,0.0,0.0
early_seir_infected_only,10,equal,0.0021703305931133096,1.6867874128376723,1.0,0.15147984195513756,0.0015246779867389667,0.0007103492366261512,0.25,0.25,0.25,0.25
early_seir_infected_only,10,aic,0.0009198388713861962,2.078349683035772,1.0,0.1297231226564092,0.001716824774600441,3.5618960790839655e-06,0.8708922605913048,0.12899846574336882,0.00010763267802521829,1.6409873012388707e-06
early_seir_infected_only,10,bic,0.0008987786759705376,2.0917965045553495,1.0,0.12813603439979826,0.0016787651656012205,1.8963833049436216e-06,0.9359711189135728,0.06402528834767476,3.5756300479980445e-06,1.7108704453306592e-08
early_seir_infected_only,10,gic_evid,0.0008840613259997362,2.0994149183535833,1.0,0.1274234406821715,0.001662310219422386,1.059954250627662e-06,0.4882190684366397,0.03317509728341112,0.4786031741037811,2.660176167972073e-06
early_seir_infected_only,10,stacking,0.0008942381850688196,2.0947614020832477,1.0,0.1277867335632271,0.0016704935750526345,1.5003966289570857e-06,0.9500949157229949,0.04990499899329952,8.522015428721812e-08,6.355151578750993e-11
early_seir_infected_only,10,hard_gic_pred,0.0008682858109372915,2.1077365966807933,1.0,0.1266462917397542,0.001644643791714268,0.0,0.0,0.0,1.0,0.0
early_seir_infected_only,11,equal,0.0011324756931601553,1.8797604977482798,1.0,0.17199945129820926,0.0019101047200669897,0.0009888375311632978,0.25,0.25,0.25,0.25
early_seir_infected_only,11,aic,0.00022635490446379055,2.1928334681111914,1.0,0.14998647296718112,0.0022098175890752675,0.00012169206292617721,0.7636173694135059,0.23628469879605965,9.436524423883076e-05,3.566546195507661e-06
early_seir_infected_only,11,bic,0.00014814614617984017,2.2496559859597336,1.0,0.14333072116260936,0.0020605899086173305,7.376405524296785e-05,0.8749650980734637,0.1250315200442858,3.342238323106084e-06,3.964392735549844e-08
early_seir_infected_only,11,gic_evid,9.514915392270377e-05,2.3009400615483777,1.0,0.13734386346424818,0.001940872520825486,2.243995543027536e-05,0.48802288746401135,0.0341806800036418,0.4777900133994551,6.419132891595943e-06
early_seir_infected_only,11,stacking,0.0012137397370487466,1.9005972942451788,1.0,0.17892994751098865,0.003234247178241261,1.6093155102915684e-13,6.095894004561949e-11,0.9999999998505744,6.105531828360189e-11,2.7411114458799135e-11
