study,seed,criterion,truth,selected,correct
biochemical_haldane,25,gic_eff,haldane,haldane,1
biochemical_haldane,25,gic_vol_050,haldane,haldane,1
biochemical_haldane,25,ogic_e,haldane,haldane,1
biochemical_haldane,26,aic,haldane,haldane,1
biochemical_haldane,26,aicc,haldane,haldane,1
biochemical_haldane,26,bic,haldane,haldane,1
biochemical_haldane,26,gic_eff,haldane,haldane,1
biochemical_haldane,26,gic_vol_050,haldane,haldane,1
biochemical_haldane,26,ogic_e,haldane,haldane,1
biochemical_haldane,27,aic,haldane,haldane,1
biochemical_haldane,27,aicc,haldane,haldane,1
biochemical_haldane,27,bic,haldane,haldane,1
biochemical_haldane,27,gic_eff,haldane,ude_mm,0
biochemical_haldane,27,gic_vol_050,haldane,haldane,1
biochemical_haldane,27,ogic_e,haldane,haldane,1
biochemical_haldane,28,aic,haldane,haldane,1
biochemical_haldane,28,aicc,haldane,haldane,1
biochemical_haldane,28,bic,haldane,haldane,1
biochemical_haldane,28,gic_eff,haldane,ude_mm,0
biochemical_haldane,28,gic_vol_050,haldane,haldane,1
biochemical_haldane,28,ogic_e,haldane,haldane,1
biochemical_haldane,29,aic,haldane,haldane,1
biochemical_haldane,29,aicc,haldane,haldane,1
biochemical_haldane,29,bic,haldane,haldane,1
biochemical_haldane,29,gic_eff,haldane,haldane,1
biochemical_haldane,29,gic_vol_050,haldane,haldane,1
biochemical_haldane,29,ogic_e,haldane,haldane,1
biochemical_ude,0,aic,ude_mm,mm,0
biochemical_ude,0,aicc,ude_mm,mm,0
biochemical_ude,0,bic,ude_mm,mm,0
biochemical_ude,0,gic_eff,ude_mm,ude_mm,1
biochemical_ude,0,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,0,ogic_e,ude_mm,ude_mm,1
biochemical_ude,1,aic,ude_mm,mm,0
biochemical_ude,1,aicc,ude_mm,mm,0
biochemical_ude,1,bic,ude_mm,mm,0
biochemical_ude,1,gic_eff,ude_mm,mm,0
biochemical_ude,1,gic_vol_050,ude_mm,mm,0
biochemical_ude,1,ogic_e,ude_mm,mm,0
biochemical_ude,2,aic,ude_mm,mm,0
biochemical_ude,2,aicc,ude_mm,mm,0
biochemical_ude,2,bic,ude_mm,mm,0
biochemical_ude,2,gic_eff,ude_mm,mm,0
biochemical_ude,2,gic_vol_050,ude_mm,mm,0
biochemical_ude,2,ogic_e,ude_mm,mm,0
biochemical_ude,3,aic,ude_mm,mm,0
biochemical_ude,3,aicc,ude_mm,mm,0
biochemical_ude,3,bic,ude_mm,mm,0
biochemical_ude,3,gic_eff,ude_mm,mm,0
biochemical_ude,3,gic_vol_050,ude_mm,mm,0
biochemical_ude,3,ogic_e,ude_mm,mm,0
biochemical_ude,4,aic,ude_mm,mm,0
biochemical_ude,4,aicc,ude_mm,mm,0
biochemical_ude,4,bic,ude_mm,mm,0
biochemical_ude,4,gic_eff,ude_mm,ude_mm,1
biochemical_ude,4,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,4,ogic_e,ude_mm,mm,0
biochemical_ude,5,aic,ude_mm,mm,0
biochemical_ude,5,aicc,ude_mm,mm,0
biochemical_ude,5,bic,ude_mm,mm,0
biochemical_ude,5,gic_eff,ude_mm,ude_mm,1
biochemical_ude,5,gic_vol_050,ude_mm,ude_mm,1
biochemical_ude,5,ogic_e,ude_mm,ude_mm,1
biochemical_ude,6,aic,ude_mm,mm,0
biochemical_ude,6,aicc,ude_mm,mm,0
biochemical_ude,6,bic,ude_mm,mm,0
biochemical_ude,6,gic_eff,ude_mm,ude_mm,1
biochemical_ude,6,gic_vol_050,ude_mm,ude_mm,1
