n_times,noise,trajectories,seed,criterion,selected,correct
10,0.005,2,15,aic,ude_sir_h2,1
10,0.005,2,15,bic,ude_sir_h2,1
10,0.005,2,15,gic_eff,ude_sir_h2,1
10,0.005,2,15,gic_vol_050,ude_sir_h2,1
10,0.005,2,15,ogic_e,ude_sir_h2,1
10,0.005,2,16,aic,ude_sir_h2,1
10,0.005,2,16,bic,ude_sir_h2,1
10,0.005,2,16,gic_eff,ude_sir_h2,1
10,0.005,2,16,gic_vol_050,ude_sir_h2,1
10,0.005,2,16,ogic_e,ude_sir_h2,1
10,0.005,2,17,aic,ude_sir_h2,1
10,0.005,2,17,bic,ude_sir_h2,1
10,0.005,2,17,gic_eff,ude_sir_h2,1
10,0.005,2,17,gic_vol_050,ude_sir_h2,1
10,0.005,2,17,ogic_e,ude_sir_h2,1
10,0.005,2,18,aic,ude_sir_h2,1
10,0.005,2,18,bic,ude_sir_h2,1
10,0.005,2,18,gic_eff,ude_sir_h2,1
10,0.005,2,18,gic_vol_050,ude_sir_h2,1
10,0.005,2,18,ogic_e,ude_sir_h2,1
10,0.005,2,19,aic,ude_sir_h2,1
10,0.005,2,19,bic,ude_sir_h2,1
10,0.005,2,19,gic_eff,ude_sir_h2,1
10,0.005,2,19,gic_vol_050,ude_sir_h2,1
10,0.005,2,19,ogic_e,ude_sir_h2,1
10,0.005,4,0,aic,ude_sir_h2,1
10,0.005,4,0,bic,ude_sir_h2,1
10,0.005,4,0,gic_eff,ude_sir_h2,1
10,0.005,4,0,gic_vol_050,ude_sir_h2,1
10,0.005,4,0,ogic_e,ude_sir_h2,1
10,0.005,4,1,aic,ude_sir_h2,1
10,0.005,4,1,bic,ude_sir_h2,1
10,0.005,4,1,gic_eff,ude_sir_h2,1
10,0.005,4,1,gic_vol_050,ude_sir_h2,1
10,0.005,4,1,ogic_e,ude_sir_h2,1
10,0.005,4,2,aic,ude_sir_h2,1
10,0.005,4,2,bic,ude_sir_h2,1
10,0.005,4,2,gic_eff,ude_sir_h2,1
10,0.005,4,2,gic_vol_050,ude_sir_h2,1
10,0.005,4,2,ogic_e,ude_sir_h2,1
10,0.005,4,3,aic,ude_sir_h2,1
10,0.005,4,3,bic,ude_sir_h2,1
10,0.005,4,3,gic_eff,ude_sir_h2,1
10,0.005,4,3,gic_vol_050,ude_sir_h2,1
10,0.005,4,3,ogic_e,ude_sir_h2,1
10,0.005,4,4,aic,ude_sir_h2,1
10,0.005,4,4,bic,ude_sir_h2,1
10,0.005,4,4,gic_eff,ude_sir_h2,1
10,0.005,4,4,gic_vol_050,ude_sir_h2,1
10,0.005,4,4,ogic_e,ude_sir_h2,1
10,0.005,4,5,aic,ude_sir_h2,1
10,0.005,4,5,bic,ude_sir_h2,1
10,0.005,4,5,gic_eff,ude_sir_h2,1
10,0.005,4,5,gic_vol_050,ude_sir_h2,1
10,0.005,4,5,ogic_e,ude_sir_h2,1
10,0.005,4,6,aic,ude_sir_h2,1
