schema_version,protocol_hash,status,scenario,candidate,truth,seed,draws,waic_laplace,p_waic
2.0,db2b073838389504,ok,early_seir_infected_only,ude_sir_h2,seir,9,512,1640.827681179849,857.7598944913751
2.0,5179e270774d70f1,ok,early_seir_infected_only,ude_sir_h2,seir,10,512,2293.9527238426085,1184.3388025553886
2.0,42aa448dabc1b925,ok,early_seir_infected_only,ude_sir_h2,seir,11,512,2949.1264806858617,1511.7574247113826
2.0,2a2672e79ce090c5,ok,early_seir_infected_only,ude_sir_h2,seir,12,512,2602.6228400144946,1337.0120676420072
2.0,8876dc1374e8a406,ok,early_seir_infected_only,ude_sir_h2,seir,13,512,1716.7487897545693,895.9663091332702
2.0,b3cfd58936ba3be0,ok,early_seir_infected_only,ude_sir_h2,seir,14,512,2644.8495023802698,1356.7595850961864
2.0,9144bdde76f529e8,ok,early_seir_infected_only,ude_sir_h2,seir,15,512,2268.576222838159,1171.551549643052
2.0,c4c83a401f4273e1,ok,early_seir_infected_only,ude_sir_h2,seir,16,512,2187.4548125269635,1127.4939929602006
2.0,6b8d161285608cf4,ok,early_seir_infected_only,ude_sir_h2,seir,17,512,1712.4101617642887,891.0931317495722
2.0,f43e22c63df3fa21,ok,early_seir_infected_only,ude_sir_h2,seir,18,512,1974.5743734683701,1023.8890930021987
2.0,3a1bb440b56f05cc,ok,early_seir_infected_only,ude_sir_h2,seir,19,512,4100.6804612985525,2088.6166700785657
2.0,52e6c3e06aae1d20,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,0,512,24644.48527602755,12405.45732192709
2.0,145d02370aaf773d,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,1,512,3917.7900177400525,2047.817148094842
2.0,bd86ec689c22b86e,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,2,512,6969.122878969814,3572.604949656863
2.0,0edb60816d3acf76,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,3,512,26659.175053334664,13410.858818932275
2.0,c234f8db639afedb,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,4,512,8032.87266127506,4102.32929596198
2.0,7b160f6c8e7c0447,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,5,512,11836.102861803673,5999.136928261708
2.0,b4bcdbb89d70705d,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,6,512,4732.43060839156,2453.929004892104
2.0,35bf669dba0b921f,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,7,512,3906.4713460222147,2038.692930193669
2.0,0a0b75a55562a3ac,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,8,512,8158.121309386976,4163.930361616649
2.0,a9b6a3b609417324,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,9,512,19806.7698354287,9986.315555435049
2.0,ba0836d8298b8b49,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,10,512,35258.041543175845,17715.857498492955
2.0,40711775906b0f79,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,11,512,9695.883309054381,4934.0245803064245
2.0,811ac9eba40f9af1,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,12,512,12734.441801412037,6454.832727757153
2.0,b8732259e70ed8b4,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,13,512,18665.880195017173,9418.757203112073
2.0,10edc7cffa3a7870,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,14,512,11484.484343618655,5827.291911995614
2.0,1e0edb7e5f57cde6,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,15,512,6256.514511029473,3219.171491029867
2.0,15c21da9a19719b5,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,16,512,6081.5180435874245,3129.677650016672
2.0,6b1656d8bb1d5108,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,17,512,7937.408490964379,4057.830680849951
2.0,640b9933f51676cf,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,18,512,15808.026883927241,7985.624927382338
2.0,16f9e3a4cba62270,ok,missing_neural_feedback,neural_ode_h2,ude_sir_h2,19,512,16347.583668514566,8256.649419191195
2.0,8b2321030fc0a757,ok,missing_neural_feedback,seir,ude_sir_h2,0,512,922.8542503091533,522.2655104591588
2.0,5a5040b6d811fc4c,ok,missing_neural_feedback,seir,ude_sir_h2,1,512,836.5096428450653,487.89816827450363
2.0,1fd5c9bd4fc313bc,ok,missing_neural_feedback,seir,ude_sir_h2,2,512,1070.7316391386662,599.3118284993221
2.0,cacd2e75b64167d7,ok,missing_neural_feedback,seir,ude_sir_h2,3,512,1060.4929014899126,605.8563356453109
2.0,f9f9d55e292eed14,ok,missing_neural_feedback,seir,ude_sir_h2,4,512,764.526692298764,441.28363143438656
2.0,7c1c6abea99231a4,ok,missing_neural_feedback,seir,ude_sir_h2,5,512,1009.265913093009,574.1189379618706
2.0,dd838a2887b220fa,ok,missing_neural_feedback,seir,ude_sir_h2,6,512,1844.6007123457593,976.074284770644
2.0,1271b27d4d4d91e6,ok,missing_neural_feedback,seir,ude_sir_h2,7,512,910.4245623827791,506.74978346182473
2.0,8c660f6c3198005b,ok,missing_neural_feedback,seir,ude_sir_h2,8,512,1028.5698240095207,569.2554492270042
2.0,17865d84833c593f,ok,missing_neural_feedback,seir,ude_sir_h2,9,512,773.2134687725098,462.1665612903603
2.0,ace7d4744b2835dc,ok,missing_neural_feedback,seir,ude_sir_h2,10,512,866.6923226023243,501.28978291805686
2.0,5c9d69e75d138777,ok,missing_neural_feedback,seir,ude_sir_h2,11,512,1152.631257309661,645.6927586060244
2.0,6bd22d52b3115335,ok,missing_neural_feedback,seir,ude_sir_h2,12,512,819.3924993812789,468.46111728024897
2.0,5cb742807a257b59,ok,missing_neural_feedback,seir,ude_sir_h2,13,512,1074.700492493769,598.2876197037588
2.0,b3059a414d38efda,ok,missing_neural_feedback,seir,ude_sir_h2,14,512,870.8005566488722,510.7194074195561
2.0,e984834356c3a4f2,ok,missing_neural_feedback,seir,ude_sir_h2,15,512,436.1063446112224,295.8659079064619
2.0,5d633bbb67f6b4f8,ok,missing_neural_feedback,seir,ude_sir_h2,16,512,1330.3224739969032,726.9944120794556
2.0,1cf89a1f2ab7c3d1,ok,missing_neural_feedback,seir,ude_sir_h2,17,512,1409.8851458280783,777.8618150378145
2.0,567187e721e7c44e,ok,missing_neural_feedback,seir,ude_sir_h2,18,512,752.8174555595272,450.4652430772046
2.0,de50ed1e669bdc6f,ok,missing_neural_feedback,seir,ude_sir_h2,19,512,558.819993554643,356.14111143656817
2.0,b9e1165d048a1e25,ok,missing_neural_feedback,sir,ude_sir_h2,0,512,-10.28692250870171,15.101595611608694
2.0,08b1f2fc2f9d94da,ok,missing_neural_feedback,sir,ude_sir_h2,1,512,-32.82700026385829,12.25661722550014
2.0,eb5e7f5ff9b8ba35,ok,missing_neural_feedback,sir,ude_sir_h2,2,512,-18.38843827084387,11.135823756667088
2.0,c9768a135a66d368,ok,missing_neural_feedback,sir,ude_sir_h2,3,512,-65.92801144473296,10.105064649927401
2.0,ecfc43c3d2ca7565,ok,missing_neural_feedback,sir,ude_sir_h2,4,512,-9.971591883540018,14.7418584338965
