study,seed,criterion,truth,selected,correct,selection_gap,support_entropy
biochemical_haldane,26,gic_evid,haldane,haldane,1,9.199328946037213,0.055795149582145244
biochemical_haldane,26,gic_eff_logn,haldane,haldane,1,2.4933836996357,0.5508541744057857
biochemical_haldane,27,aic,haldane,haldane,1,12.768105399944005,0.012537768471712202
biochemical_haldane,27,aicc,haldane,haldane,1,31.932940564779173,2.5446371225875113e-06
biochemical_haldane,27,bic,haldane,haldane,1,22.519111998889628,0.00016097415289989452
biochemical_haldane,27,gic_pred,haldane,ude_mm,0,1.5153387653157893,0.6278657724347434
biochemical_haldane,27,gic_evid,haldane,haldane,1,7.426923860033185,0.11252544072532043
biochemical_haldane,27,gic_eff_logn,haldane,ude_mm,0,0.4692045608151716,0.6872181497734104
biochemical_haldane,28,aic,haldane,haldane,1,5.471459752745176,0.2456855982746376
biochemical_haldane,28,aicc,haldane,haldane,1,16.328602609888037,0.0026106908522846614
biochemical_haldane,28,bic,haldane,haldane,1,12.784714701954385,0.012587640002958225
biochemical_haldane,28,gic_pred,haldane,neural_rate,0,0.8706965190049232,0.9576330614773593
biochemical_haldane,28,gic_evid,haldane,haldane,1,6.811367208899782,0.1420302195626501
biochemical_haldane,28,gic_eff_logn,haldane,ude_mm,0,0.10554002340822422,1.0801609871692108
biochemical_haldane,29,aic,haldane,haldane,1,15.842967807228007,0.0032361721662957604
biochemical_haldane,29,aicc,haldane,haldane,1,35.007802972063175,4.628235719442726e-07
biochemical_haldane,29,bic,haldane,haldane,1,25.59397440617363,3.820517340298002e-05
biochemical_haldane,29,gic_pred,haldane,haldane,1,1.2406479991233255,0.6472655472428794
biochemical_haldane,29,gic_evid,haldane,haldane,1,8.65261226013078,0.06956154345204066
biochemical_haldane,29,gic_eff_logn,haldane,haldane,1,2.092447297522483,0.5730055778735356
biochemical_ude,0,aic,ude_mm,mm,0,4.89941364410555,0.5398762125826178
biochemical_ude,0,aicc,ude_mm,mm,0,5.732689745213634,0.21001548867228323
biochemical_ude,0,bic,ude_mm,mm,0,6.354162972679205,0.172170420776756
biochemical_ude,0,gic_pred,ude_mm,ude_mm,1,10.08130867053822,0.08207449035336807
biochemical_ude,0,gic_evid,ude_mm,ude_mm,1,4.985042107503887,0.27387148773408493
biochemical_ude,0,gic_eff_logn,ude_mm,ude_mm,1,8.606881613125154,0.11404051982938168
biochemical_ude,1,aic,ude_mm,mm,0,2.886451495208121,0.48915279585486166
biochemical_ude,1,aicc,ude_mm,mm,0,3.483854092610727,0.4210919968768349
biochemical_ude,1,bic,ude_mm,mm,0,4.105327320076299,0.3543696733813349
biochemical_ude,1,gic_pred,ude_mm,mm,0,0.19358400139665832,1.0834556171478147
biochemical_ude,1,gic_evid,ude_mm,mm,0,0.31560662662408845,0.7643942445026657
biochemical_ude,1,gic_eff_logn,ude_mm,mm,0,0.32800243117600303,1.0619056759610825
biochemical_ude,2,aic,ude_mm,mm,0,4.071069419810158,0.36179109277617416
biochemical_ude,2,aicc,ude_mm,mm,0,4.668472017212764,0.2986580588990483
biochemical_ude,2,bic,ude_mm,mm,0,5.289945244678336,0.24400908986835657
biochemical_ude,2,gic_pred,ude_mm,ude_mm,1,0.6535498858447113,1.0001412473032472
biochemical_ude,2,gic_evid,ude_mm,mm,0,0.4864523789465238,0.7268678132410464
biochemical_ude,2,gic_eff_logn,ude_mm,mm,0,0.0657094259963742,1.0014100891961044
biochemical_ude,3,aic,ude_mm,mm,0,3.341483838438336,0.4384465727973436
biochemical_ude,3,aicc,ude_mm,mm,0,3.938886435840942,0.3717778200420384
biochemical_ude,3,bic,ude_mm,mm,0,4.560359663306514,0.3089346254883312
biochemical_ude,3,gic_pred,ude_mm,mm,0,0.27722242464611213,1.0601158522816845
biochemical_ude,3,gic_evid,ude_mm,mm,0,0.6566068990802023,0.7433122440806066
biochemical_ude,3,gic_eff_logn,ude_mm,mm,0,0.6435997535520812,1.0382314191483124
biochemical_ude,4,aic,ude_mm,mm,0,4.154699041246829,0.4112718730240985
biochemical_ude,4,aicc,ude_mm,mm,0,4.752101638649435,0.29087778274816145
biochemical_ude,4,bic,ude_mm,mm,0,5.373574866115007,0.23778663244352044
biochemical_ude,4,gic_pred,ude_mm,ude_mm,1,6.485943782153612,0.23300337184227757
biochemical_ude,4,gic_evid,ude_mm,mm,0,0.10293262878866472,0.7277100865815537
biochemical_ude,4,gic_eff_logn,ude_mm,ude_mm,1,4.729541315751504,0.4067466354907071
biochemical_ude,5,aic,ude_mm,mm,0,3.1111377650290706,0.6495052726458639
biochemical_ude,5,aicc,ude_mm,mm,0,6.065446509062724,0.18666628463370552
biochemical_ude,5,bic,ude_mm,mm,0,6.686919736528296,0.1557143563229796
biochemical_ude,5,gic_pred,ude_mm,ude_mm,1,11.9181522616839,0.026936096420602424
biochemical_ude,5,gic_evid,ude_mm,ude_mm,1,4.598690631880899,0.30952841537285136
biochemical_ude,5,gic_eff_logn,ude_mm,ude_mm,1,10.107688977116709,0.04978220833417818
biochemical_ude,6,aic,ude_mm,mm,0,4.50809968261882,0.32646909227220816
biochemical_ude,6,aicc,ude_mm,mm,0,5.105502280021426,0.2594118526242443
biochemical_ude,6,bic,ude_mm,mm,0,5.726975507486998,0.21021889294735427
biochemical_ude,6,gic_pred,ude_mm,ude_mm,1,3.041569465887875,0.6597251134184416
biochemical_ude,6,gic_evid,ude_mm,ude_mm,1,0.06555648378301271,0.7227710647068957
biochemical_ude,6,gic_eff_logn,ude_mm,ude_mm,1,1.7597480890657096,0.818250945289124
biochemical_ude,7,aic,ude_mm,mm,0,4.506997597112161,0.33572684942082565
biochemical_ude,7,aicc,ude_mm,mm,0,5.104400194514767,0.25951594597647354
biochemical_ude,7,bic,ude_mm,mm,0,5.725873421980339,0.21039871274677435
biochemical_ude,7,gic_pred,ude_mm,ude_mm,1,3.961443673263176,0.53496038136226
biochemical_ude,7,gic_evid,ude_mm,mm,0,0.434845077510829,0.7208704308258906
biochemical_ude,7,gic_eff_logn,ude_mm,ude_mm,1,2.4591681547827875,0.7299154107305339
biochemical_ude,8,aic,ude_mm,mm,0,0.8262425650577256,0.673817989320144
biochemical_ude,8,aicc,ude_mm,mm,0,1.423645162460332,0.63361280091539
biochemical_ude,8,bic,ude_mm,mm,0,2.0451183899259036,0.577767215613614
biochemical_ude,8,gic_pred,ude_mm,haldane,0,0.7290053667362884,1.1131835953070395
biochemical_ude,8,gic_evid,ude_mm,mm,0,0.028572460949447986,0.8467189607674777
biochemical_ude,8,gic_eff_logn,ude_mm,haldane,0,0.45860554035817813,1.1041594663487677
biochemical_ude,9,aic,ude_mm,mm,0,4.285506603184899,0.3481840708954718
biochemical_ude,9,aicc,ude_mm,mm,0,4.882909200587505,0.2789685829527511
biochemical_ude,9,bic,ude_mm,mm,0,5.504382428053077,0.2270581748269503
biochemical_ude,9,gic_pred,ude_mm,ude_mm,1,1.8112741254928437,0.9572412774774111
biochemical_ude,9,gic_evid,ude_mm,mm,0,0.7485989720020996,0.7156328824110179
biochemical_ude,9,gic_eff_logn,ude_mm,ude_mm,1,0.6220275163604185,1.0105003219273925
biochemical_ude,10,aic,ude_mm,mm,0,2.805461748367918,0.7837041708557186
biochemical_ude,10,aicc,ude_mm,mm,0,6.047739435263395,0.1890131921262186
biochemical_ude,10,bic,ude_mm,mm,0,6.669212662728967,0.16189937146990396
