scenario,seed,criterion,interpretation,candidate,weight
early_seir_infected_only,10,gic_evid,equal_prior_posterior_approximation,sir,0.27567506861179064
early_seir_infected_only,10,gic_evid,equal_prior_posterior_approximation,tv_sir,0.018732466245312343
early_seir_infected_only,10,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.2702454111048378
early_seir_infected_only,11,gic_pred,predictive_support,neural_ode_h2,0.0709386402024291
early_seir_infected_only,11,gic_pred,predictive_support,seir,0.2742548349394926
early_seir_infected_only,11,gic_pred,predictive_support,sir,0.25981350411327103
early_seir_infected_only,11,gic_pred,predictive_support,tv_sir,0.1348418598907816
early_seir_infected_only,11,gic_pred,predictive_support,ude_sir_h2,0.2601511608540258
early_seir_infected_only,11,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,3.6353291180179915e-06
early_seir_infected_only,11,gic_evid,equal_prior_posterior_approximation,seir,0.43367286837488017
early_seir_infected_only,11,gic_evid,equal_prior_posterior_approximation,sir,0.27638060202490217
early_seir_infected_only,11,gic_evid,equal_prior_posterior_approximation,tv_sir,0.01935744646345855
early_seir_infected_only,11,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.2705854478076409
early_seir_infected_only,12,gic_pred,predictive_support,neural_ode_h2,0.06267765717776017
early_seir_infected_only,12,gic_pred,predictive_support,seir,0.20843011633318795
early_seir_infected_only,12,gic_pred,predictive_support,sir,0.2942374692490911
early_seir_infected_only,12,gic_pred,predictive_support,tv_sir,0.14103258341634808
early_seir_infected_only,12,gic_pred,predictive_support,ude_sir_h2,0.2936221738236128
early_seir_infected_only,12,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.7292651481743576e-05
early_seir_infected_only,12,gic_evid,equal_prior_posterior_approximation,seir,0.21802113604574702
early_seir_infected_only,12,gic_evid,equal_prior_posterior_approximation,sir,0.3805717385870442
early_seir_infected_only,12,gic_evid,equal_prior_posterior_approximation,tv_sir,0.03186395419196563
early_seir_infected_only,12,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.36952587852376123
early_seir_infected_only,13,gic_pred,predictive_support,neural_ode_h2,0.2952430995068633
early_seir_infected_only,13,gic_pred,predictive_support,seir,0.24491576790183556
early_seir_infected_only,13,gic_pred,predictive_support,sir,0.15715124221837215
early_seir_infected_only,13,gic_pred,predictive_support,tv_sir,0.14603056302816797
early_seir_infected_only,13,gic_pred,predictive_support,ude_sir_h2,0.15665932734476107
early_seir_infected_only,13,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,0.0001937810262574523
early_seir_infected_only,13,gic_evid,equal_prior_posterior_approximation,seir,0.4188578259362881
early_seir_infected_only,13,gic_evid,equal_prior_posterior_approximation,sir,0.26966173260065635
early_seir_infected_only,13,gic_evid,equal_prior_posterior_approximation,tv_sir,0.04911167740529664
early_seir_infected_only,13,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.26217498303150144
early_seir_infected_only,14,gic_pred,predictive_support,neural_ode_h2,0.0344878479178146
early_seir_infected_only,14,gic_pred,predictive_support,seir,0.28544751768384463
early_seir_infected_only,14,gic_pred,predictive_support,sir,0.2734924751232055
early_seir_infected_only,14,gic_pred,predictive_support,tv_sir,0.13348566129451586
early_seir_infected_only,14,gic_pred,predictive_support,ude_sir_h2,0.2730864979806193
early_seir_infected_only,14,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.6629855227451177e-06
early_seir_infected_only,14,gic_evid,equal_prior_posterior_approximation,seir,0.36824810982764433
early_seir_infected_only,14,gic_evid,equal_prior_posterior_approximation,sir,0.30895567774714916
early_seir_infected_only,14,gic_evid,equal_prior_posterior_approximation,tv_sir,0.021410359387385218
early_seir_infected_only,14,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.3013841900522986
early_seir_infected_only,15,gic_pred,predictive_support,neural_ode_h2,0.1705334962891822
early_seir_infected_only,15,gic_pred,predictive_support,seir,0.22286587030252086
early_seir_infected_only,15,gic_pred,predictive_support,sir,0.2603168350794822
early_seir_infected_only,15,gic_pred,predictive_support,tv_sir,0.08549510865101424
early_seir_infected_only,15,gic_pred,predictive_support,ude_sir_h2,0.26078868967780044
early_seir_infected_only,15,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.3954628064841035e-05
early_seir_infected_only,15,gic_evid,equal_prior_posterior_approximation,seir,0.39404056249458275
early_seir_infected_only,15,gic_evid,equal_prior_posterior_approximation,sir,0.298306760017874
early_seir_infected_only,15,gic_evid,equal_prior_posterior_approximation,tv_sir,0.015524202611382577
early_seir_infected_only,15,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.2921145202480958
early_seir_infected_only,16,gic_pred,predictive_support,neural_ode_h2,0.19235964628690685
early_seir_infected_only,16,gic_pred,predictive_support,seir,0.22905512419080243
early_seir_infected_only,16,gic_pred,predictive_support,sir,0.2538735666182216
early_seir_infected_only,16,gic_pred,predictive_support,tv_sir,0.07097641980138293
early_seir_infected_only,16,gic_pred,predictive_support,ude_sir_h2,0.2537352431026863
early_seir_infected_only,16,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,3.4254151743309406e-05
early_seir_infected_only,16,gic_evid,equal_prior_posterior_approximation,seir,0.3705963789827563
early_seir_infected_only,16,gic_evid,equal_prior_posterior_approximation,sir,0.30818726305776717
early_seir_infected_only,16,gic_evid,equal_prior_posterior_approximation,tv_sir,0.01956424152587887
early_seir_infected_only,16,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.3016178622818544
early_seir_infected_only,17,gic_pred,predictive_support,neural_ode_h2,0.047820568420786955
early_seir_infected_only,17,gic_pred,predictive_support,seir,0.3736665469886753
early_seir_infected_only,17,gic_pred,predictive_support,sir,0.2428060686416231
early_seir_infected_only,17,gic_pred,predictive_support,tv_sir,0.09209640896750797
early_seir_infected_only,17,gic_pred,predictive_support,ude_sir_h2,0.24361040698140674
early_seir_infected_only,17,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.1071334534569506e-06
early_seir_infected_only,17,gic_evid,equal_prior_posterior_approximation,seir,0.5334581970255198
early_seir_infected_only,17,gic_evid,equal_prior_posterior_approximation,sir,0.222979468461038
early_seir_infected_only,17,gic_evid,equal_prior_posterior_approximation,tv_sir,0.024559857907581223
early_seir_infected_only,17,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.2190013694724075
early_seir_infected_only,18,gic_pred,predictive_support,neural_ode_h2,0.03901802557356268
early_seir_infected_only,18,gic_pred,predictive_support,seir,0.36035311870905035
early_seir_infected_only,18,gic_pred,predictive_support,sir,0.22290355548395493
early_seir_infected_only,18,gic_pred,predictive_support,tv_sir,0.1542978866860372
early_seir_infected_only,18,gic_pred,predictive_support,ude_sir_h2,0.223427413547395
early_seir_infected_only,18,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.1338521501312678e-06
early_seir_infected_only,18,gic_evid,equal_prior_posterior_approximation,seir,0.52436369503827
early_seir_infected_only,18,gic_evid,equal_prior_posterior_approximation,sir,0.22797556392091892
early_seir_infected_only,18,gic_evid,equal_prior_posterior_approximation,tv_sir,0.024043300313613243
early_seir_infected_only,18,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.2236163068750478
early_seir_infected_only,19,gic_pred,predictive_support,neural_ode_h2,0.08410671517909253
early_seir_infected_only,19,gic_pred,predictive_support,seir,0.23703240905407247
early_seir_infected_only,19,gic_pred,predictive_support,sir,0.2840594214468137
early_seir_infected_only,19,gic_pred,predictive_support,tv_sir,0.11043961992319185
early_seir_infected_only,19,gic_pred,predictive_support,ude_sir_h2,0.2843618343968295
early_seir_infected_only,19,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,7.99129020628316e-06
early_seir_infected_only,19,gic_evid,equal_prior_posterior_approximation,seir,0.37097390254079937
early_seir_infected_only,19,gic_evid,equal_prior_posterior_approximation,sir,0.3058546284823415
early_seir_infected_only,19,gic_evid,equal_prior_posterior_approximation,tv_sir,0.023655105168105203
early_seir_infected_only,19,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.29950837251854756
early_seir_infected_only,20,gic_pred,predictive_support,neural_ode_h2,0.13099072597619474
early_seir_infected_only,20,gic_pred,predictive_support,seir,0.15055279980702851
early_seir_infected_only,20,gic_pred,predictive_support,sir,0.07140280421679095
early_seir_infected_only,20,gic_pred,predictive_support,tv_sir,0.3396484818034471
early_seir_infected_only,20,gic_pred,predictive_support,ude_sir_h2,0.3074051881965387
early_seir_infected_only,20,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,4.384374152842697e-06
early_seir_infected_only,20,gic_evid,equal_prior_posterior_approximation,seir,0.5639623077117492
early_seir_infected_only,20,gic_evid,equal_prior_posterior_approximation,sir,0.1631630883096737
early_seir_infected_only,20,gic_evid,equal_prior_posterior_approximation,tv_sir,0.17752281328510258
early_seir_infected_only,20,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.09534740631932168
early_seir_infected_only,21,gic_pred,predictive_support,neural_ode_h2,0.03734041659619887
early_seir_infected_only,21,gic_pred,predictive_support,seir,0.2694975619991958
early_seir_infected_only,21,gic_pred,predictive_support,sir,0.30533010969394336
early_seir_infected_only,21,gic_pred,predictive_support,tv_sir,0.0824373227156279
early_seir_infected_only,21,gic_pred,predictive_support,ude_sir_h2,0.30539458899503413
early_seir_infected_only,21,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.285467911764307e-06
early_seir_infected_only,21,gic_evid,equal_prior_posterior_approximation,seir,0.385736991647042
early_seir_infected_only,21,gic_evid,equal_prior_posterior_approximation,sir,0.30133257801157937
early_seir_infected_only,21,gic_evid,equal_prior_posterior_approximation,tv_sir,0.018150859535224575
early_seir_infected_only,21,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.2947772853382423
early_seir_infected_only,22,gic_pred,predictive_support,neural_ode_h2,0.01896604202795398
early_seir_infected_only,22,gic_pred,predictive_support,seir,0.28674365687471026
early_seir_infected_only,22,gic_pred,predictive_support,sir,0.2762463184402807
early_seir_infected_only,22,gic_pred,predictive_support,tv_sir,0.14248783156776798
early_seir_infected_only,22,gic_pred,predictive_support,ude_sir_h2,0.2755561510892871
early_seir_infected_only,22,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.14133737018556e-06
early_seir_infected_only,22,gic_evid,equal_prior_posterior_approximation,seir,0.3508954302613257
early_seir_infected_only,22,gic_evid,equal_prior_posterior_approximation,sir,0.31466141709494455
early_seir_infected_only,22,gic_evid,equal_prior_posterior_approximation,tv_sir,0.027428479606135005
early_seir_infected_only,22,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.3070135317002246
early_seir_infected_only,23,gic_pred,predictive_support,neural_ode_h2,0.05707573314690251
early_seir_infected_only,23,gic_pred,predictive_support,seir,0.30945952836883456
early_seir_infected_only,23,gic_pred,predictive_support,sir,0.2682096039267213
early_seir_infected_only,23,gic_pred,predictive_support,tv_sir,0.09639521700638712
early_seir_infected_only,23,gic_pred,predictive_support,ude_sir_h2,0.2688599175511547
early_seir_infected_only,23,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.350526492488621e-06
early_seir_infected_only,23,gic_evid,equal_prior_posterior_approximation,seir,0.4673693474453451
early_seir_infected_only,23,gic_evid,equal_prior_posterior_approximation,sir,0.25854216476291436
early_seir_infected_only,23,gic_evid,equal_prior_posterior_approximation,tv_sir,0.02046379741405857
early_seir_infected_only,23,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.25362233985118937
early_seir_infected_only,24,gic_pred,predictive_support,neural_ode_h2,0.11934493769394859
early_seir_infected_only,24,gic_pred,predictive_support,seir,0.2621991907088759
early_seir_infected_only,24,gic_pred,predictive_support,sir,0.26397424318155427
early_seir_infected_only,24,gic_pred,predictive_support,tv_sir,0.09914085746532283
early_seir_infected_only,24,gic_pred,predictive_support,ude_sir_h2,0.2553407709502985
early_seir_infected_only,24,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,6.769935704937663e-06
early_seir_infected_only,24,gic_evid,equal_prior_posterior_approximation,seir,0.4461288117864788
early_seir_infected_only,24,gic_evid,equal_prior_posterior_approximation,sir,0.27982920230511155
early_seir_infected_only,24,gic_evid,equal_prior_posterior_approximation,tv_sir,0.018542758491225005
early_seir_infected_only,24,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.25549245748147975
early_seir_infected_only,25,gic_pred,predictive_support,neural_ode_h2,0.017611652618245426
early_seir_infected_only,25,gic_pred,predictive_support,seir,0.20635612476689388
early_seir_infected_only,25,gic_pred,predictive_support,sir,0.31987967279736146
early_seir_infected_only,25,gic_pred,predictive_support,tv_sir,0.13643555350881947
early_seir_infected_only,25,gic_pred,predictive_support,ude_sir_h2,0.3197169963086797
early_seir_infected_only,25,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.861904255131085e-05
early_seir_infected_only,25,gic_evid,equal_prior_posterior_approximation,seir,0.12799838658306198
early_seir_infected_only,25,gic_evid,equal_prior_posterior_approximation,sir,0.391071135412965
early_seir_infected_only,25,gic_evid,equal_prior_posterior_approximation,tv_sir,0.10023481015814406
early_seir_infected_only,25,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.3806670488032776
early_seir_infected_only,26,gic_pred,predictive_support,neural_ode_h2,0.04880163282661956
early_seir_infected_only,26,gic_pred,predictive_support,seir,0.31808152635906406
early_seir_infected_only,26,gic_pred,predictive_support,sir,0.27298815479285327
early_seir_infected_only,26,gic_pred,predictive_support,tv_sir,0.08646964659887064
early_seir_infected_only,26,gic_pred,predictive_support,ude_sir_h2,0.27365903942259245
early_seir_infected_only,26,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.8177034179020026e-06
early_seir_infected_only,26,gic_evid,equal_prior_posterior_approximation,seir,0.4698096643746393
early_seir_infected_only,26,gic_evid,equal_prior_posterior_approximation,sir,0.2579144428491552
