scenario,seed,criterion,truth,selected,correct,selection_gap,support_entropy
regular_sir_full,1,gic_evid,sir,sir,1,6.1912456507221805,0.2229836880004842
regular_sir_full,1,gic_eff_logn,sir,sir,1,2.9311815159165917,0.716273956511072
regular_sir_full,2,aic,sir,sir,1,3.4378041686728693,0.42743583301963123
regular_sir_full,2,aicc,sir,sir,1,3.7827519038645505,0.38872843403293744
regular_sir_full,2,bic,sir,sir,1,8.369620405982118,0.07786903318283979
regular_sir_full,2,gic_pred,sir,sir,1,1.6668026966298157,0.8955036625407133
regular_sir_full,2,gic_evid,sir,sir,1,4.00067984988641,0.37410267791271284
regular_sir_full,2,gic_eff_logn,sir,sir,1,4.286596305748162,0.40380556752963276
regular_sir_full,3,aic,sir,sir,1,3.555979665876862,0.41437151509753833
regular_sir_full,3,aicc,sir,sir,1,3.900927401068543,0.37607506195341317
regular_sir_full,3,bic,sir,sir,1,8.487795903186111,0.07429432042825643
regular_sir_full,3,gic_pred,sir,sir,1,2.632830150926452,0.8201898487909492
regular_sir_full,3,gic_evid,sir,sir,1,6.553724562370007,0.16535156953893368
regular_sir_full,3,gic_eff_logn,sir,sir,1,6.361612276945152,0.23847067665046523
regular_sir_full,4,aic,sir,sir,1,1.9798020598512949,0.5875885048992963
regular_sir_full,4,aicc,sir,sir,1,2.324749795042976,0.5498307050127273
regular_sir_full,4,bic,sir,sir,1,6.911618297160544,0.13680849293021488
regular_sir_full,4,gic_pred,sir,sir,1,1.9610355096259582,0.9591380441733177
regular_sir_full,4,gic_evid,sir,sir,1,9.14788746198144,0.07475337684727464
regular_sir_full,4,gic_eff_logn,sir,sir,1,6.869713452655446,0.1991946430756528
regular_sir_full,5,aic,sir,sir,1,3.6625377996239195,0.40462706542774673
regular_sir_full,5,aicc,sir,sir,1,4.007485534815601,0.3652631178384294
regular_sir_full,5,bic,sir,sir,1,8.594354036933169,0.07120169819923905
regular_sir_full,5,gic_pred,sir,sir,1,2.293354149705351,0.837145708257013
regular_sir_full,5,gic_evid,sir,sir,1,7.83055334403025,0.10524337365939812
regular_sir_full,5,gic_eff_logn,sir,sir,1,8.201092554350453,0.15363313129600395
regular_sir_full,6,aic,sir,sir,1,0.22733388634253515,0.6942909708966228
regular_sir_full,6,aicc,sir,sir,1,0.5722816215342164,0.6836718032552342
regular_sir_full,6,bic,sir,sir,1,5.159150123651784,0.25483913206948156
regular_sir_full,6,gic_pred,sir,ude_sir_h2,0,0.3534481993879126,1.0944242071899815
regular_sir_full,6,gic_evid,sir,sir,1,3.495616999388517,0.45297624164237427
regular_sir_full,6,gic_eff_logn,sir,sir,1,3.205261708675039,0.6533930775935215
regular_sir_full,7,aic,sir,sir,1,3.4316896435389026,0.4281459818479763
regular_sir_full,7,aicc,sir,sir,1,3.776637378730584,0.38939464397714135
regular_sir_full,7,bic,sir,sir,1,8.363505880848152,0.0780582380653926
regular_sir_full,7,gic_pred,sir,sir,1,1.554364691450246,0.9020616116817481
regular_sir_full,7,gic_evid,sir,sir,1,3.8126417731652964,0.39359241075020457
regular_sir_full,7,gic_eff_logn,sir,sir,1,4.106777737729885,0.4214911420799037
regular_sir_full,8,aic,sir,sir,1,3.229318946349281,0.4508292356015963
regular_sir_full,8,aicc,sir,sir,1,3.574266681540962,0.4114530024697866
regular_sir_full,8,bic,sir,sir,1,8.16113518365853,0.0845638598712668
regular_sir_full,8,gic_pred,sir,sir,1,1.5236633315482777,0.9189842171760663
regular_sir_full,8,gic_evid,sir,sir,1,4.130145395804902,0.3610487657814213
regular_sir_full,8,gic_eff_logn,sir,sir,1,4.385128300106203,0.4001119964773263
regular_sir_full,9,aic,sir,tv_sir,0,7.142625241605174,0.13139188317543424
regular_sir_full,9,aicc,sir,tv_sir,0,6.797677506413493,0.1443081435257311
regular_sir_full,9,bic,sir,tv_sir,0,2.2108090042959248,0.5609357697073691
regular_sir_full,9,gic_pred,sir,tv_sir,0,0.32861085891090625,0.7568958090408735
regular_sir_full,9,gic_evid,sir,sir,1,0.5931820774850394,0.9788217162303158
regular_sir_full,9,gic_eff_logn,sir,tv_sir,0,0.290800037195595,1.0075775966730505
regular_sir_full,10,aic,sir,sir,1,3.3567183269823317,0.4364089497537786
regular_sir_full,10,aicc,sir,sir,1,3.701666062174013,0.3974882642505592
regular_sir_full,10,bic,sir,sir,1,8.28853456429158,0.08041274097991079
regular_sir_full,10,gic_pred,sir,sir,1,1.699294960259067,0.9051566738554884
regular_sir_full,10,gic_evid,sir,sir,1,3.78830439982562,0.39651603192944457
regular_sir_full,10,gic_eff_logn,sir,sir,1,4.2530709478562585,0.409201841739593
regular_sir_full,11,aic,sir,sir,1,3.927620915129296,0.3740278147060361
regular_sir_full,11,aicc,sir,sir,1,4.272568650320977,0.3374929885043536
regular_sir_full,11,bic,sir,sir,1,8.859437152438545,0.06401835030898029
regular_sir_full,11,gic_pred,sir,sir,1,1.7588849086830578,0.8549158633987612
regular_sir_full,11,gic_evid,sir,sir,1,2.1173621208727127,0.576245590816446
regular_sir_full,11,gic_eff_logn,sir,sir,1,3.9356845671018164,0.4267781486184804
regular_sir_full,12,aic,sir,tv_sir,0,0.41086946500081467,0.6910815238507811
regular_sir_full,12,aicc,sir,tv_sir,0,0.06592172980913347,0.6937782695177442
regular_sir_full,12,bic,sir,sir,1,4.5209467723084344,0.31271429323055133
regular_sir_full,12,gic_pred,sir,tv_sir,0,0.08250171703843989,1.0982972964998945
regular_sir_full,12,gic_evid,sir,sir,1,5.237331832803648,0.29197322273792947
regular_sir_full,12,gic_eff_logn,sir,sir,1,4.021510300153636,0.6247521023198987
regular_sir_full,13,aic,sir,sir,1,1.6171299298824806,0.6216693199126612
regular_sir_full,13,aicc,sir,sir,1,1.9620776650741618,0.5868391003269539
regular_sir_full,13,bic,sir,sir,1,6.54894616719173,0.1565174250565863
regular_sir_full,13,gic_pred,sir,sir,1,1.5967582761987842,1.0241152708496721
regular_sir_full,13,gic_evid,sir,sir,1,8.825818619522408,0.08727772726509764
regular_sir_full,13,gic_eff_logn,sir,sir,1,6.503457200403432,0.2280446841806652
regular_sir_full,14,aic,sir,sir,1,3.5197778895519605,0.4185410329510445
regular_sir_full,14,aicc,sir,sir,1,3.8647256247436417,0.37996182304574866
regular_sir_full,14,bic,sir,sir,1,8.45159412686121,0.07537297554821672
regular_sir_full,14,gic_pred,sir,sir,1,2.433125687452275,0.8537719928441093
regular_sir_full,14,gic_evid,sir,sir,1,6.400306231435934,0.17470535175448876
regular_sir_full,14,gic_eff_logn,sir,sir,1,6.1556526743880795,0.2520750437017679
regular_sir_full,15,aic,sir,sir,1,1.7355622538086664,0.6090052973936777
regular_sir_full,15,aicc,sir,sir,1,2.0805099890003476,0.5746231784515046
regular_sir_full,15,bic,sir,sir,1,6.6673784911179155,0.1498303675260705
regular_sir_full,15,gic_pred,sir,sir,1,1.7159474109867006,1.0021111002426928
regular_sir_full,15,gic_evid,sir,sir,1,7.704894950720586,0.12145435513567085
regular_sir_full,15,gic_eff_logn,sir,sir,1,6.173101369171377,0.32070639356641717
regular_sir_full,16,aic,sir,tv_sir,0,1.2757115807351056,0.6518031008243255
regular_sir_full,16,aicc,sir,tv_sir,0,0.9307638455434244,0.6685520762053565
regular_sir_full,16,bic,sir,sir,1,3.6561046565741435,0.4021778272796955
regular_sir_full,16,gic_pred,sir,ude_sir_h2,0,1.1654205119223207,0.985834186916615
regular_sir_full,16,gic_evid,sir,sir,1,5.536996548348952,0.28706350286799265
regular_sir_full,16,gic_eff_logn,sir,sir,1,2.1979421625911755,0.8463473312163676
regular_sir_full,17,aic,sir,sir,1,3.2296825333610286,0.4507071554172347
regular_sir_full,17,aicc,sir,sir,1,3.57463026855271,0.4113949172932452
regular_sir_full,17,bic,sir,sir,1,8.161498770670278,0.0845517352985491
regular_sir_full,17,gic_pred,sir,sir,1,1.421348677845458,0.9232242827653122
regular_sir_full,17,gic_evid,sir,sir,1,3.7773857566888864,0.3982258401177253
regular_sir_full,17,gic_eff_logn,sir,sir,1,4.000384591752891,0.43761697278233735
regular_sir_full,18,aic,sir,sir,1,3.6617962914551754,0.4051079749700079
regular_sir_full,18,aicc,sir,sir,1,4.006744026646857,0.3654330357631818
regular_sir_full,18,bic,sir,sir,1,8.593612528764424,0.07122281874965299
regular_sir_full,18,gic_pred,sir,sir,1,2.320774537106672,0.8363948218385764
regular_sir_full,18,gic_evid,sir,sir,1,8.52246331366797,0.08200669841991992
regular_sir_full,18,gic_eff_logn,sir,sir,1,8.551469783146445,0.14193488396530274
regular_sir_full,19,aic,sir,sir,1,2.6000504603327954,0.5213950236893613
regular_sir_full,19,aicc,sir,sir,1,2.9449981955244766,0.4816356116492513
regular_sir_full,19,bic,sir,sir,1,7.5318666976420445,0.10807665342440845
regular_sir_full,19,gic_pred,sir,sir,1,0.6427160331359119,1.003759264869155
regular_sir_full,19,gic_evid,sir,sir,1,3.3681169517851686,0.4458037002584928
regular_sir_full,19,gic_eff_logn,sir,sir,1,3.3409200845113673,0.5246412723717232
regular_sir_full,20,aic,sir,sir,1,3.4798024857881273,0.4227795858454023
regular_sir_full,20,aicc,sir,sir,1,3.8247502209798085,0.38421235950910526
regular_sir_full,20,bic,sir,sir,1,8.411618723097376,0.07658083945956955
regular_sir_full,20,gic_pred,sir,sir,1,1.6143415915793184,0.8953340091163295
regular_sir_full,20,gic_evid,sir,sir,1,3.8848027575031665,0.38602158874059966
regular_sir_full,20,gic_eff_logn,sir,sir,1,4.140112317664716,0.41697029970480787
