scenario,truth,candidate,seed,training_deviance,mean_new_deviance,mc_se_new_deviance,empirical_optimism,predicted_optimism,calibration_residual,effective_dimension,new_response_draws
noisy_sir_overfit_risk,sir,tv_sir,46,-80.96745196182019,-90.74196780477527,0.5591182495152841,-9.774515842955083,5.981315050144635,-15.755830893099716,2.9906575250723173,200
noisy_sir_overfit_risk,sir,tv_sir,47,-100.32944854198222,-91.5416193376528,0.5492839370746204,8.787829204329412,6.038752992551549,2.7490762117778633,3.0193764962757745,200
noisy_sir_overfit_risk,sir,tv_sir,48,-98.12988590963691,-91.5649574978274,0.5405717082890604,6.564928411809518,5.984692703065445,0.5802357087440733,2.9923463515327224,200
noisy_sir_overfit_risk,sir,tv_sir,49,-107.50139285049138,-79.72316897893555,0.667394078260759,27.778223871555838,5.875258978871007,21.90296489268483,2.9376294894355035,200
noisy_sir_overfit_risk,sir,tv_sir,50,-100.90254018705262,-86.52053953415674,0.6552479367328261,14.382000652895883,6.1561793387003885,8.225821314195494,3.0780896693501942,200
noisy_sir_overfit_risk,sir,tv_sir,51,-99.49466798124931,-89.80929094024424,0.5359078728343132,9.685377041005069,6.224068577341132,3.4613084636639364,3.112034288670566,200
noisy_sir_overfit_risk,sir,tv_sir,52,-95.81278272486486,-89.94112090229405,0.5445436651597324,5.871661822570815,6.031153418496711,-0.15949159592589623,3.0155767092483554,200
noisy_sir_overfit_risk,sir,tv_sir,53,-81.13395460441052,-91.15294432471494,0.5778998550591843,-10.018989720304418,6.026065855212583,-16.045055575517,3.0130329276062917,200
noisy_sir_overfit_risk,sir,tv_sir,54,-96.53737392026432,-88.95834882479295,0.5980696648266042,7.579025095471366,6.07094097817152,1.5080841172998456,3.03547048908576,200
noisy_sir_overfit_risk,sir,tv_sir,55,-84.67796770408569,-89.99113695427745,0.5577302078779465,-5.313169250191763,6.090870489763546,-11.404039739955309,3.045435244881773,200
noisy_sir_overfit_risk,sir,tv_sir,56,-95.19000414406948,-88.83944621438947,0.5921635565037398,6.350557929680008,5.917897334765994,0.43266059491401343,2.958948667382997,200
noisy_sir_overfit_risk,sir,tv_sir,57,-85.39704165259784,-86.78384500495787,0.6195343898638155,-1.3868033523600332,5.972147341672319,-7.358950694032353,2.9860736708361597,200
noisy_sir_overfit_risk,sir,tv_sir,58,-92.19236240607209,-89.01672887794548,0.5851509250308767,3.1756335281266104,6.010479887715418,-2.8348463595888074,3.005239943857709,200
noisy_sir_overfit_risk,sir,tv_sir,59,-86.08370613310815,-89.3776238658307,0.5654791382997473,-3.293917732722548,6.121175423096829,-9.415093155819378,3.0605877115484144,200
noisy_sir_overfit_risk,sir,tv_sir,60,-93.46956752700342,-87.1058163075336,0.5834727616249604,6.363751219469819,6.093812426219547,0.2699387932502715,3.0469062131097737,200
