status,scenario,truth,candidate,seed,dimension,draws,finite_draws,invalid_draws,importance_ess,relative_ess,maximum_normalized_weight,minus2_log_evidence_is,gic_evid,bic,gic_evid_error
ok,early_seir_infected_only,seir,sir,17,2,512,512,0,102.10854129796023,0.19943074472257857,0.07057184059373721,-68.75762879588784,-69.62075657952622,-71.77210501855332,-0.863127783638376
ok,early_seir_infected_only,seir,sir,18,2,512,512,0,1.5286856927172852,0.0029857142435884476,0.8086720007995455,-77.45830254698534,-75.18201346550185,-77.51593017830871,2.2762890814834833
ok,early_seir_infected_only,seir,sir,19,2,512,512,0,133.77597043516397,0.26128119225617963,0.05279912560316939,-78.18757573435667,-79.04005069640962,-81.67513470780519,-0.8524749620529519
ok,early_seir_infected_only,seir,tv_sir,0,4,512,512,0,41.84611885251022,0.08173070088380903,0.08960137387515865,-65.62978643811864,-66.28105656966197,-69.3892514803928,-0.6512701315433276
ok,early_seir_infected_only,seir,tv_sir,3,4,512,512,0,48.25450996193459,0.09424708976940349,0.08770790037233835,-64.97956298552177,-65.22281301370528,-69.32724871323892,-0.24325002818351038
ok,early_seir_infected_only,seir,tv_sir,2,4,512,512,0,37.0828161112972,0.07242737521737734,0.13213787092376783,-69.18131645443256,-69.65682851484749,-73.34566510963387,-0.47551206041492833
ok,early_seir_infected_only,seir,tv_sir,4,4,512,512,0,1.7045277816822544,0.003329155823598153,0.7653714250460962,-56.95686105061315,-54.81444385409323,-58.63595905301251,2.142417196519922
ok,early_seir_infected_only,seir,tv_sir,1,4,512,512,0,45.2315101334552,0.08834279322940469,0.10466561761044904,-69.6216217306791,-70.51609042244297,-73.3885330718118,-0.8944686917638762
ok,early_seir_infected_only,seir,tv_sir,6,4,512,512,0,34.200403671331586,0.0667976634205695,0.15174599975243452,-62.54404527355941,-63.060137510892574,-67.14837588802027,-0.5160922373331616
ok,early_seir_infected_only,seir,tv_sir,5,4,512,512,0,62.45180426851813,0.12197618021194948,0.09974636901441007,-65.03937302910366,-65.55073281239659,-68.62349096148522,-0.5113597832929315
ok,early_seir_infected_only,seir,tv_sir,7,4,512,512,0,22.651729259901195,0.04424165871074452,0.15847035774869997,-78.52142908875697,-78.4298476711187,-80.64535583736675,0.09158141763828098
ok,early_seir_infected_only,seir,tv_sir,8,4,512,512,0,76.039646576743,0.14851493472020116,0.0647198221797383,-75.9005956300727,-76.55770065709028,-79.86917014753213,-0.6571050270175789
ok,early_seir_infected_only,seir,tv_sir,9,4,512,512,0,3.2170390834419,0.006283279459847461,0.5563803605161746,-70.06800871708242,-68.94843881585078,-73.11390932429309,1.1195699012316425
ok,early_seir_infected_only,seir,tv_sir,11,4,512,512,0,42.432005739441436,0.08287501120984656,0.11560796345366674,-68.93688306726419,-69.3737249215841,-73.49382539945546,-0.4368418543199084
ok,early_seir_infected_only,seir,tv_sir,10,4,512,512,0,29.150999504623872,0.0569355459074685,0.16562498144654053,-70.79114960212098,-71.23861595858548,-73.67869233289635,-0.4474663564645027
ok,early_seir_infected_only,seir,tv_sir,12,4,512,512,0,97.09355134710157,0.18963584247480775,0.052831864609559624,-62.37733187102143,-63.03693513132677,-67.88536650372738,-0.6596032603053388
ok,early_seir_infected_only,seir,tv_sir,13,4,512,512,0,33.40325251704536,0.06524072757235422,0.15041773818404394,-70.53623252176465,-71.11668965832908,-74.91767820029439,-0.5804571365644335
ok,early_seir_infected_only,seir,tv_sir,14,4,512,512,0,75.34438331845509,0.1471569986688576,0.07439347339179263,-63.27904787237201,-64.1864756477961,-68.39225709132823,-0.9074277754240896
ok,early_seir_infected_only,seir,tv_sir,15,4,512,512,0,109.10053866226501,0.21308698957473635,0.03516650047363317,-68.45349202534912,-69.29548361363244,-73.13115558986375,-0.8419915882833209
ok,early_seir_infected_only,seir,tv_sir,16,4,512,512,0,56.17944555219481,0.10972547959413048,0.0868175694132398,-61.92250498416657,-62.2102653484083,-64.91736742631716,-0.287760364241727
ok,early_seir_infected_only,seir,tv_sir,17,4,512,512,0,118.2510412778118,0.23095906499572616,0.0411238627814536,-64.39426314152921,-65.20882381992675,-67.2998408379985,-0.814560678397541
ok,early_seir_infected_only,seir,tv_sir,18,4,512,512,0,52.65530231760046,0.1028423873390634,0.09575840416162376,-70.34090791632242,-70.68324933966034,-74.33285766347873,-0.3423414233379134
ok,early_seir_infected_only,seir,tv_sir,19,4,512,512,0,113.20637486396907,0.2211062009061896,0.03605800075405827,-73.05808499150912,-73.92098876888173,-77.04403023797616,-0.8629037773726083
ok,missing_time_varying_transmission,tv_sir,seir,0,3,512,512,0,159.6083917406848,0.311735140118525,0.014339931237200784,-174.42506110459212,-177.24816324710548,-185.66853097571155,-2.8231021425133633
ok,missing_time_varying_transmission,tv_sir,seir,1,3,512,512,0,137.17098796807426,0.26791208587514503,0.010784869493571544,-130.2510882827874,-133.67811691215041,-142.10160799831377,-3.427028629363008
ok,missing_time_varying_transmission,tv_sir,seir,2,3,512,512,0,148.51071727503685,0.29005999467780635,0.009422678561287638,-131.11448361239204,-134.27319780066753,-142.62638458042585,-3.1587141882754963
ok,missing_time_varying_transmission,tv_sir,seir,4,3,512,512,0,158.0022635601915,0.308598171015999,0.010615047454798479,-152.1094913420037,-155.11113378402993,-163.63748173870673,-3.001642442026224
ok,missing_time_varying_transmission,tv_sir,seir,3,3,512,512,0,141.72470145330234,0.27680605752598114,0.010065384048611424,-124.42192181224868,-127.7236073820716,-136.11755093555902,-3.301685569822922
ok,missing_time_varying_transmission,tv_sir,seir,5,3,512,512,0,171.62295709380786,0.33520108807384347,0.010017829045106598,-142.81236071658986,-145.57013686872196,-154.11317183448378,-2.757776152132095
ok,missing_time_varying_transmission,tv_sir,seir,6,3,512,512,0,153.2129222632059,0.29924398879532405,0.008907458895516272,-159.25645744838945,-162.3106242430921,-170.78353437274748,-3.0541667947026383
