n_times,noise,trajectories,seed,criterion,interpretation,candidate,weight
10,0.005,1,11,gic_pred,predictive_support,neural_ode_h2,0.4017384450264811
10,0.005,1,11,gic_pred,predictive_support,sir,4.416633477129804e-75
10,0.005,1,11,gic_pred,predictive_support,tv_sir,0.009197497985251041
10,0.005,1,11,gic_pred,predictive_support,ude_sir_h2,0.5890640569882678
10,0.005,1,11,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,4.125246287587017e-07
10,0.005,1,11,gic_evid,equal_prior_posterior_approximation,sir,1.4575996613393982e-72
10,0.005,1,11,gic_evid,equal_prior_posterior_approximation,tv_sir,0.0836471185695952
10,0.005,1,11,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.916352468905776
10,0.005,1,12,gic_pred,predictive_support,neural_ode_h2,0.6396624945073272
10,0.005,1,12,gic_pred,predictive_support,sir,2.0689667333475993e-81
10,0.005,1,12,gic_pred,predictive_support,tv_sir,0.053580915551590884
10,0.005,1,12,gic_pred,predictive_support,ude_sir_h2,0.30675658994108196
10,0.005,1,12,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.0243165302477101e-07
10,0.005,1,12,gic_evid,equal_prior_posterior_approximation,sir,4.2693073814254986e-79
10,0.005,1,12,gic_evid,equal_prior_posterior_approximation,tv_sir,0.41657594991990843
10,0.005,1,12,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.5834239476484386
10,0.005,1,13,gic_pred,predictive_support,neural_ode_h2,0.5917783464638791
10,0.005,1,13,gic_pred,predictive_support,sir,3.392767257148639e-86
10,0.005,1,13,gic_pred,predictive_support,tv_sir,0.018322339280163698
10,0.005,1,13,gic_pred,predictive_support,ude_sir_h2,0.38989931425595714
10,0.005,1,13,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.571376457187566e-07
10,0.005,1,13,gic_evid,equal_prior_posterior_approximation,sir,8.784909121238624e-84
10,0.005,1,13,gic_evid,equal_prior_posterior_approximation,tv_sir,0.16752359529555988
10,0.005,1,13,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.8324761475667943
10,0.005,1,14,gic_pred,predictive_support,neural_ode_h2,0.8235749070284734
10,0.005,1,14,gic_pred,predictive_support,sir,5.6854304966298e-82
10,0.005,1,14,gic_pred,predictive_support,tv_sir,0.013228243601868101
10,0.005,1,14,gic_pred,predictive_support,ude_sir_h2,0.1631968493696587
10,0.005,1,14,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,4.3840008081089543e-07
10,0.005,1,14,gic_evid,equal_prior_posterior_approximation,sir,2.956140833428856e-79
10,0.005,1,14,gic_evid,equal_prior_posterior_approximation,tv_sir,0.2595044264851462
10,0.005,1,14,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.740495135114773
10,0.005,1,15,gic_pred,predictive_support,neural_ode_h2,0.11729288065618051
10,0.005,1,15,gic_pred,predictive_support,sir,2.4484821412874024e-76
10,0.005,1,15,gic_pred,predictive_support,tv_sir,0.019100198758626254
10,0.005,1,15,gic_pred,predictive_support,ude_sir_h2,0.8636069205851933
10,0.005,1,15,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,3.373610532444954e-08
10,0.005,1,15,gic_evid,equal_prior_posterior_approximation,sir,5.066398509277815e-74
10,0.005,1,15,gic_evid,equal_prior_posterior_approximation,tv_sir,0.1111632599543462
10,0.005,1,15,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.8888367063095486
10,0.005,1,16,gic_pred,predictive_support,neural_ode_h2,0.27633363363201086
10,0.005,1,16,gic_pred,predictive_support,sir,1.5435417754649046e-87
10,0.005,1,16,gic_pred,predictive_support,tv_sir,0.0659409988463351
10,0.005,1,16,gic_pred,predictive_support,ude_sir_h2,0.657725367521654
10,0.005,1,16,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.3957000587166737e-08
10,0.005,1,16,gic_evid,equal_prior_posterior_approximation,sir,2.0989072572446774e-85
10,0.005,1,16,gic_evid,equal_prior_posterior_approximation,tv_sir,0.3042184606023016
10,0.005,1,16,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.6957815254406978
10,0.005,1,17,gic_pred,predictive_support,neural_ode_h2,0.07931237169003061
10,0.005,1,17,gic_pred,predictive_support,sir,1.2372457515548665e-84
10,0.005,1,17,gic_pred,predictive_support,tv_sir,0.15975108096439125
10,0.005,1,17,gic_pred,predictive_support,ude_sir_h2,0.7609365473455781
10,0.005,1,17,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.9978205381038715e-09
10,0.005,1,17,gic_evid,equal_prior_posterior_approximation,sir,9.84198439171111e-83
10,0.005,1,17,gic_evid,equal_prior_posterior_approximation,tv_sir,0.42665112920351955
10,0.005,1,17,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.5733488677986599
10,0.005,1,18,gic_pred,predictive_support,neural_ode_h2,0.9237886229098025
10,0.005,1,18,gic_pred,predictive_support,sir,8.604701305518823e-75
10,0.005,1,18,gic_pred,predictive_support,tv_sir,0.0015891516694107033
10,0.005,1,18,gic_pred,predictive_support,ude_sir_h2,0.07462222542078664
10,0.005,1,18,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,3.3223350531393195e-06
10,0.005,1,18,gic_evid,equal_prior_posterior_approximation,sir,1.502989825794573e-71
10,0.005,1,18,gic_evid,equal_prior_posterior_approximation,tv_sir,0.09829976465735867
10,0.005,1,18,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9016969130075881
10,0.005,1,19,gic_pred,predictive_support,neural_ode_h2,0.98378280095657
10,0.005,1,19,gic_pred,predictive_support,sir,4.878304628969558e-83
10,0.005,1,19,gic_pred,predictive_support,tv_sir,0.0003161608817842106
10,0.005,1,19,gic_pred,predictive_support,ude_sir_h2,0.015901038161645637
10,0.005,1,19,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,3.6597115956343433e-05
10,0.005,1,19,gic_evid,equal_prior_posterior_approximation,sir,4.7839362600484994e-79
10,0.005,1,19,gic_evid,equal_prior_posterior_approximation,tv_sir,0.08055920257537474
10,0.005,1,19,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9194042003086689
10,0.005,2,0,gic_pred,predictive_support,neural_ode_h2,4.537063856088781e-05
10,0.005,2,0,gic_pred,predictive_support,sir,5.852979536279998e-192
10,0.005,2,0,gic_pred,predictive_support,tv_sir,7.343073301100887e-05
10,0.005,2,0,gic_pred,predictive_support,ude_sir_h2,0.9998811986284282
10,0.005,2,0,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.211134178426201e-25
10,0.005,2,0,gic_evid,equal_prior_posterior_approximation,sir,3.908511092450242e-186
10,0.005,2,0,gic_evid,equal_prior_posterior_approximation,tv_sir,0.4131821509263581
10,0.005,2,0,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.5868178490736419
10,0.005,2,1,gic_pred,predictive_support,neural_ode_h2,7.740239664950416e-18
10,0.005,2,1,gic_pred,predictive_support,sir,6.039494291764761e-219
10,0.005,2,1,gic_pred,predictive_support,tv_sir,0.031141508998484255
10,0.005,2,1,gic_pred,predictive_support,ude_sir_h2,0.9688584910015157
10,0.005,2,1,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,7.848348400206305e-40
10,0.005,2,1,gic_evid,equal_prior_posterior_approximation,sir,1.9425373963584448e-215
10,0.005,2,1,gic_evid,equal_prior_posterior_approximation,tv_sir,0.9968690675735405
10,0.005,2,1,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.003130932426459563
10,0.005,2,2,gic_pred,predictive_support,neural_ode_h2,9.144668499255893e-13
10,0.005,2,2,gic_pred,predictive_support,sir,1.7682785915882916e-213
10,0.005,2,2,gic_pred,predictive_support,tv_sir,4.486656960077396e-06
10,0.005,2,2,gic_pred,predictive_support,ude_sir_h2,0.9999955133421256
10,0.005,2,2,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,2.9336951547202455e-31
10,0.005,2,2,gic_evid,equal_prior_posterior_approximation,sir,3.680255409166326e-207
10,0.005,2,2,gic_evid,equal_prior_posterior_approximation,tv_sir,0.08384781906612451
10,0.005,2,2,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9161521809338755
10,0.005,2,3,gic_pred,predictive_support,neural_ode_h2,4.944447121818582e-13
10,0.005,2,3,gic_pred,predictive_support,sir,1.7718931290234934e-195
10,0.005,2,3,gic_pred,predictive_support,tv_sir,0.0005813129534210453
10,0.005,2,3,gic_pred,predictive_support,ude_sir_h2,0.9994186870460846
10,0.005,2,3,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,5.450348575213638e-32
10,0.005,2,3,gic_evid,equal_prior_posterior_approximation,sir,2.566898478221689e-190
10,0.005,2,3,gic_evid,equal_prior_posterior_approximation,tv_sir,0.8113218138655852
10,0.005,2,3,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.18867818613441475
10,0.005,2,4,gic_pred,predictive_support,neural_ode_h2,2.5019028996563938e-08
10,0.005,2,4,gic_pred,predictive_support,sir,2.8750324397950454e-170
10,0.005,2,4,gic_pred,predictive_support,tv_sir,0.013590623373648395
10,0.005,2,4,gic_pred,predictive_support,ude_sir_h2,0.9864093516073226
10,0.005,2,4,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,5.672449511403085e-31
10,0.005,2,4,gic_evid,equal_prior_posterior_approximation,sir,2.6072385067309485e-166
10,0.005,2,4,gic_evid,equal_prior_posterior_approximation,tv_sir,0.9873153761573956
10,0.005,2,4,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.012684623842604404
10,0.005,2,5,gic_pred,predictive_support,neural_ode_h2,4.085627719470209e-05
10,0.005,2,5,gic_pred,predictive_support,sir,7.418924907534227e-216
10,0.005,2,5,gic_pred,predictive_support,tv_sir,3.135089651503938e-06
10,0.005,2,5,gic_pred,predictive_support,ude_sir_h2,0.9999560086331538
10,0.005,2,5,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.3555762179872137e-24
10,0.005,2,5,gic_evid,equal_prior_posterior_approximation,sir,1.0514050340891012e-209
10,0.005,2,5,gic_evid,equal_prior_posterior_approximation,tv_sir,0.03625334514619338
10,0.005,2,5,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9637466548538066
10,0.005,2,6,gic_pred,predictive_support,neural_ode_h2,3.934900617800752e-07
10,0.005,2,6,gic_pred,predictive_support,sir,3.0441214274793254e-173
10,0.005,2,6,gic_pred,predictive_support,tv_sir,4.553294674840082e-06
10,0.005,2,6,gic_pred,predictive_support,ude_sir_h2,0.9999950532152634
10,0.005,2,6,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,1.6114645984020156e-27
10,0.005,2,6,gic_evid,equal_prior_posterior_approximation,sir,1.25914504464585e-167
10,0.005,2,6,gic_evid,equal_prior_posterior_approximation,tv_sir,0.018380102138354042
10,0.005,2,6,gic_evid,equal_prior_posterior_approximation,ude_sir_h2,0.9816198978616459
10,0.005,2,7,gic_pred,predictive_support,neural_ode_h2,2.5142234510559984e-10
10,0.005,2,7,gic_pred,predictive_support,sir,1.519653905852775e-197
10,0.005,2,7,gic_pred,predictive_support,tv_sir,4.366721807103176e-06
10,0.005,2,7,gic_pred,predictive_support,ude_sir_h2,0.9999956330267705
10,0.005,2,7,gic_evid,equal_prior_posterior_approximation,neural_ode_h2,3.2593368416662764e-32
10,0.005,2,7,gic_evid,equal_prior_posterior_approximation,sir,1.4975700007987268e-191
10,0.005,2,7,gic_evid,equal_prior_posterior_approximation,tv_sir,0.037052975864661206
