seed,criterion,candidate,weight,selected
12,gic_eff,ude_appearance,0.03950196406148931,0
12,gic_eff,neural_ode,0.570601583979701,1
12,gic_vol,minimal_fixed,0.31324468795284277,0
12,gic_vol,minimal_gamma,0.0729887319032962,0
12,gic_vol,ude_appearance,0.039078405414561,0
12,gic_vol,neural_ode,0.5746881747292999,1
13,aic,minimal_fixed,0.567045832496022,1
13,aic,minimal_gamma,0.43157004123632975,0
13,aic,ude_appearance,0.001301339840407332,0
13,aic,neural_ode,8.278642724086792e-05,0
13,bic,minimal_fixed,0.468506904538053,0
13,bic,minimal_gamma,0.5269483892338513,1
13,bic,ude_appearance,0.004218469531420914,0
13,bic,neural_ode,0.0003262366966749293,0
13,gic_eff,minimal_fixed,0.19836468817650585,0
13,gic_eff,minimal_gamma,0.4510174151083796,1
13,gic_eff,ude_appearance,0.2716243489674219,0
13,gic_eff,neural_ode,0.07899354774769245,0
13,gic_vol,minimal_fixed,0.3324732460762887,1
13,gic_vol,minimal_gamma,0.24166403362479305,0
13,gic_vol,ude_appearance,0.315734028606334,0
13,gic_vol,neural_ode,0.11012869169258446,0
14,aic,minimal_fixed,0.016740255445225987,0
14,aic,minimal_gamma,0.968304147558985,1
14,aic,ude_appearance,7.838912677178876e-07,0
14,aic,neural_ode,0.014954813104521202,0
14,bic,minimal_fixed,0.011020274990172487,0
14,bic,minimal_gamma,0.9420221236685995,1
14,bic,ude_appearance,2.024662017578021e-06,0
14,bic,neural_ode,0.046955576679210326,0
14,gic_eff,minimal_fixed,0.0002413252323637837,0
14,gic_eff,minimal_gamma,0.07371909062703011,0
14,gic_eff,ude_appearance,8.959571601973612e-06,0
14,gic_eff,neural_ode,0.9260306245690041,1
14,gic_vol,minimal_fixed,9.063151237029485e-05,0
14,gic_vol,minimal_gamma,0.04664876186296098,0
14,gic_vol,ude_appearance,2.314945225755203e-06,0
14,gic_vol,neural_ode,0.9532582916794429,1
15,aic,minimal_fixed,0.9987021670537845,1
15,aic,minimal_gamma,0.0002632268885551707,0
15,aic,ude_appearance,7.360105355115169e-06,0
15,aic,neural_ode,0.001027245952305202,0
15,bic,minimal_fixed,0.9947039279246227,1
15,bic,minimal_gamma,0.0003874423144769536,0
15,bic,ude_appearance,2.8761281306747818e-05,0
15,bic,neural_ode,0.00487986847959364,0
15,gic_eff,minimal_fixed,0.23986714570929898,0
15,gic_eff,minimal_gamma,0.00015108013114762577,0
15,gic_eff,ude_appearance,0.0008539132659349971,0
15,gic_eff,neural_ode,0.7591278608936184,1
15,gic_vol,minimal_fixed,0.23760986875183082,0
15,gic_vol,minimal_gamma,6.654473600336337e-06,0
15,gic_vol,ude_appearance,0.00010127483847700028,0
15,gic_vol,neural_ode,0.7622822019360919,1
16,aic,minimal_fixed,0.5174053307117414,1
16,aic,minimal_gamma,0.4823606384255949,0
16,aic,ude_appearance,4.5588822512639115e-06,0
16,aic,neural_ode,0.00022947198041219975,0
16,bic,minimal_fixed,0.4201916227117786,0
16,bic,minimal_gamma,0.5789050147202245,1
16,bic,ude_appearance,1.4525838931354858e-05,0
16,bic,neural_ode,0.00088883672906559,0
16,gic_eff,minimal_fixed,0.21157809716949963,0
16,gic_eff,minimal_gamma,0.5216366315368661,1
16,gic_eff,ude_appearance,0.0012195630589047443,0
16,gic_eff,neural_ode,0.2655657082347294,0
16,gic_vol,minimal_fixed,0.4308524901705018,1
16,gic_vol,minimal_gamma,0.229493225052974,0
16,gic_vol,ude_appearance,0.0018469384661819127,0
16,gic_vol,neural_ode,0.33780734631034226,0
17,aic,minimal_fixed,0.842389053668626,1
17,aic,minimal_gamma,0.15723075042349538,0
17,aic,ude_appearance,6.997140080114802e-05,0
17,aic,neural_ode,0.00031022450707744677,0
17,bic,minimal_fixed,0.78252540995471,1
17,bic,minimal_gamma,0.2158450933467854,0
17,bic,ude_appearance,0.0002550190716690832,0
17,bic,neural_ode,0.0013744776268353883,0
17,gic_eff,minimal_fixed,0.3628221649916609,0
17,gic_eff,minimal_gamma,0.2179998973528351,0
17,gic_eff,ude_appearance,0.020903308564959967,0
