scenario,candidate,seed,resolution,d_obs,c_obs
early_seir_infected_only,neural_ode_h2,6,0.46415888336127775,2.5425674627028103,10.42478798611503
early_seir_infected_only,neural_ode_h2,6,0.6812920690579611,2.4152740532478196,9.473643193171496
early_seir_infected_only,neural_ode_h2,6,1.0,2.2948223911856336,8.570113838770517
early_seir_infected_only,neural_ode_h2,6,1.4677992676220697,2.182529330252991,7.711246507267354
early_seir_infected_only,neural_ode_h2,6,2.1544346900318843,2.077108626465802,6.894070993639155
early_seir_infected_only,neural_ode_h2,6,3.1622776601683795,1.9749053985346285,6.116589592255829
early_seir_infected_only,neural_ode_h2,6,4.641588833612779,1.8710073165743675,5.3784929155848635
early_seir_infected_only,neural_ode_h2,6,6.812920690579615,1.7607338226288167,4.6813612442540915
early_seir_infected_only,neural_ode_h2,6,10.0,1.6410499558368568,4.028294826267997
early_seir_infected_only,neural_ode_h2,6,14.677992676220699,1.5114407129471865,3.4230894036530226
early_seir_infected_only,neural_ode_h2,6,21.544346900318846,1.373805260654309,2.869253638701317
early_seir_infected_only,neural_ode_h2,6,31.622776601683793,1.231333655301355,2.3692724613327543
early_seir_infected_only,neural_ode_h2,6,46.4158883361278,1.0870596190040611,1.9243962351129875
early_seir_infected_only,neural_ode_h2,6,68.12920690579611,0.9431346656180585,1.5348765891301397
early_seir_infected_only,neural_ode_h2,6,100.0,0.8012972158364543,1.200249766461581
early_seir_infected_only,neural_ode_h2,7,0.01,3.7227638915974564,21.49216881452831
early_seir_infected_only,neural_ode_h2,7,0.014677992676220698,3.5972383199123232,20.087337950365043
early_seir_infected_only,neural_ode_h2,7,0.021544346900318832,3.4646244183029102,18.732101259792397
early_seir_infected_only,neural_ode_h2,7,0.03162277660168379,3.327525465248658,17.428715301511872
early_seir_infected_only,neural_ode_h2,7,0.046415888336127774,3.188826312882308,16.17833049495553
early_seir_infected_only,neural_ode_h2,7,0.06812920690579612,3.0503228456291134,14.981169165068932
early_seir_infected_only,neural_ode_h2,7,0.1,2.9124614138305343,13.837037185762982
early_seir_infected_only,neural_ode_h2,7,0.1467799267622069,2.7753007794828433,12.745687299181109
early_seir_infected_only,neural_ode_h2,7,0.21544346900318834,2.6398612558594023,11.706702393809055
early_seir_infected_only,neural_ode_h2,7,0.31622776601683794,2.5087302309801975,10.718971911565683
early_seir_infected_only,neural_ode_h2,7,0.46415888336127775,2.385350027732146,9.78018600239901
early_seir_infected_only,neural_ode_h2,7,0.6812920690579611,2.272419226900484,8.886801571478532
early_seir_infected_only,neural_ode_h2,7,1.0,2.1704592684132247,8.03462447189186
