schema_version,protocol_hash,scenario,seed,sample,dimension,rank,statistic,log_information_volume,objective,parameter_error,wall_seconds
2.0,13066be19a18391e,early_seir_infected_only,11,calibration,3,2,87.672122245347,8.585016795863412,-43.511928725311186,1.697303036929241,4.3477984000055585
2.0,13066be19a18391e,early_seir_infected_only,12,calibration,3,2,42.61090099983063,6.068906493577036,-42.06592737309937,1.671544193848938,4.335480399997323
2.0,13066be19a18391e,early_seir_infected_only,13,calibration,3,2,44.62921832865795,4.397663661482022,-41.20121854014941,1.7607829143186078,4.382734400001937
2.0,13066be19a18391e,early_seir_infected_only,14,calibration,3,3,0.12267186200150071,4.933976638718678,-43.699039344123676,0.19902771414247591,4.2680942000006326
2.0,13066be19a18391e,early_seir_infected_only,15,calibration,3,2,12.303144445823094,4.222292323176214,-39.5516113387496,1.2217287499697396,4.2592542999918805
2.0,13066be19a18391e,early_seir_infected_only,16,calibration,3,1,74.89230994882678,6.337353357846888,-45.20846927156592,2.1132390676001886,4.370629500001087
2.0,13066be19a18391e,early_seir_infected_only,17,calibration,3,3,9.864390844312457,5.648571885418686,-35.33694568000294,0.5837295459810669,4.3498664000071585
2.0,13066be19a18391e,early_seir_infected_only,18,calibration,3,3,27.69555600144453,6.255391294104505,-43.101834925155174,1.2853751308628547,4.381960300001083
2.0,13066be19a18391e,early_seir_infected_only,19,calibration,3,2,142.65323165126182,5.313059399798455,-42.24830070910576,2.3054556746916472,4.379906000001938
2.0,13066be19a18391e,early_seir_infected_only,20,calibration,3,2,0.18243721523946288,5.802331352754753,-34.92202967081071,0.6910948666734665,4.397851600006106
2.0,13066be19a18391e,early_seir_infected_only,21,calibration,3,3,22.980136155853913,7.972201157468658,-42.90026543022965,1.0798151275351364,4.3274944000004325
2.0,13066be19a18391e,early_seir_infected_only,22,calibration,3,2,45.011446323051025,6.673359494155627,-42.606061826840104,1.4480805379494617,4.3870730999915395
2.0,13066be19a18391e,early_seir_infected_only,23,calibration,3,1,49.52314861922744,6.531608483556507,-40.89066753454482,1.8765960553359398,4.3463275999965845
2.0,13066be19a18391e,early_seir_infected_only,24,calibration,3,3,48.65052565155838,8.10774487611357,-41.97818113117568,1.324989273420564,4.3692349000048125
2.0,13066be19a18391e,early_seir_infected_only,25,calibration,3,3,21.66836534424693,8.176074734624311,-44.23175463603843,1.1240289820964158,4.360448699997505
2.0,13066be19a18391e,early_seir_infected_only,26,calibration,3,2,11.402422060515732,6.559587955017613,-44.435800206380776,1.1664623208184908,4.291976300009992
