status,scenario,truth,candidate,candidate_label,seed,observation,noise,n_observations,dimension,objective,deviance,converged,iterations,wall_seconds,forecast_mse,blocked_validation,condition_information,jacobian_rank,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,d_obs,c_obs,prior_energy,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100
ok,early_seir_infected_only,seir,seir,SEIR,0,infected,0.02,16,3,-39.72674677660769,-79.73886863068887,True,162,6.174714699998731,0.0005796290214765713,-26.191302551753846,14333.958592471254,3,-73.73886863068887,-71.73886863068887,-71.42110246396953,97.52813030315937,84.91523188383971,-76.89274202107974,-72.04475691424496,1.4230633048045664,7.408736638970422,0.28537507747349,-75.79329936075446,-73.94111520101185,-72.08893104126925,-68.38456272178404
ok,early_seir_infected_only,seir,seir,SEIR,1,infected,0.02,16,3,-41.59340336517844,-83.60446646883912,True,169,6.398343800014118,0.00020157616346125717,-11.251949125589551,13865.732787092433,3,-77.60446646883912,-75.60446646883912,-75.28670030211978,46.3302505481877,62.22195434525997,-80.91158055997424,-75.99142317185901,1.34644295443244,7.195383558497868,0.4176597384822375,-79.87133391824052,-78.07248802861605,-76.27364213899159,-72.67595035974266
ok,early_seir_infected_only,seir,seir,SEIR,2,infected,0.02,16,3,-41.31208479273609,-83.15757552927109,True,165,12.557205799996154,0.0009049304161095831,-20.231704265834697,10756.118159031143,3,-77.15757552927109,-75.15757552927109,-74.83980936255175,125.51882375675606,101.4855759392305,-80.45085697165405,-75.26689422181421,1.3533592788085211,7.3572753636579655,0.5334059437989134,-79.40526685570802,-77.56594801479353,-75.72662917387903,-72.04799149205006
ok,early_seir_infected_only,seir,seir,SEIR,3,infected,0.02,16,3,-39.266521729240715,-79.30120158008913,True,167,6.287001400007284,0.0015225017235522753,-5.817053803979999,5986.630810197245,3,-73.30120158008913,-71.30120158008913,-70.98343541336979,-13.363196503400918,31.33049842329795,-75.61620106072138,-69.9676474138554,1.842500259683874,8.565396044626025,0.7681581216077037,-74.19270613936575,-72.05135712820925,-69.91000811705274,-65.62731009473973
ok,early_seir_infected_only,seir,seir,SEIR,4,infected,0.02,16,3,-34.71631054382039,-70.10004600646458,True,170,6.4189686000026995,0.0001242236585933052,-21.42050874877388,6074.42649327742,3,-64.10004600646458,-62.10004600646458,-61.782279839745236,102.28859638928468,82.83387654401997,-66.73806351083186,-61.26626469536198,1.6809912478163593,8.166356392278804,0.6674249188238028,-65.43934863058516,-63.39775953251546,-61.35617043444576,-57.27299223830636
ok,early_seir_infected_only,seir,seir,SEIR,5,infected,0.02,16,3,-39.56006185646658,-79.21854151727906,True,160,2.0527083999913884,0.0001445839923443145,-23.32594096728618,14548.392869994552,3,-73.21854151727906,-71.21854151727906,-70.90077535055973,56.626570216040264,64.00156212753097,-76.22908635385845,-71.71548932386123,1.4947275817103096,7.404634389071933,0.09841780434589384,-75.07427668140832,-73.22311808414034,-71.37195948687236,-67.66964229233639
ok,early_seir_infected_only,seir,seir,SEIR,6,infected,0.02,16,3,-38.05519933412392,-76.63224498589719,True,159,4.303945299994666,2.2406415890847558e-07,-6.761529237650468,8798.975613843528,3,-70.63224498589719,-68.63224498589719,-68.31447881917785,77.36866018868093,74.10983886289978,-73.92322327013807,-68.84978448488843,1.3545108578795637,7.260614183359402,0.5218463176493464,-72.87674345718898,-71.06158991134913,-69.24643636550928,-65.61612927382957
ok,early_seir_infected_only,seir,seir,SEIR,7,infected,0.02,16,3,-45.87678862571819,-91.85080679234788,True,159,6.0990228000009665,0.0009999214242367614,-19.52257825240664,13368.898684718535,3,-85.85080679234788,-83.85080679234788,-83.53304062562854,-59.21828860499709,13.088661104454605,-88.85335902286423,-84.41109650287136,1.4987238847418294,7.34248074856503,0.0972295409114969,-87.6954618517613,-85.85984166462003,-84.02422147747878,-80.35298110319627
ok,early_seir_infected_only,seir,seir,SEIR,8,infected,0.02,16,3,-45.400480090146004,-90.98472563277298,True,167,6.303411700006109,8.674989201915018e-06,-26.922705353678676,8726.275315697245,3,-84.98472563277298,-82.98472563277298,-82.66695946605364,38.90808912147402,61.19844560123515,-87.83570416964697,-83.0039546541396,1.5745107315630054,7.797005526152407,0.18376545248096676,-86.61925493539589,-84.67000355385778,-82.72075217231968,-78.82224940924348
ok,early_seir_infected_only,seir,seir,SEIR,9,infected,0.02,16,3,-40.63538567331693,-82.66857233935846,True,171,6.526090400002431,0.005464853332620162,-13.335660515482047,4347.166213656649,3,-76.66857233935846,-74.66857233935846,-74.35080617263912,-59.175136325510294,9.886550463009996,-78.87441927490342,-72.72316665110978,1.8970765322275254,8.547604695524084,1.397800992724601,-77.40875934087867,-75.27185816699766,-73.13495699311663,-68.86115464535459
