status,candidate,candidate_label,truth,seed,dimension,deviance,intervention_validation,held_out_mse,jacobian_rank,wall_seconds,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,d_obs,c_obs,prior_energy
ok,seir,SEIR,ude_sir_h2,1,3,-382.1067669472284,-131.87656836826693,0.00044257057973628457,3,17.466599100007443,-376.1067669472284,-375.8824678818078,-367.97817634329135,-244.85595905386634,80.0556898942165,-376.33597757622465,-360.2202525533461,-368.5179135331512,-363.0982925691506,-357.67867160514993,-346.8394296771487,2.8853946855018693,21.678483856002536,0.2080305378797872
ok,seir,SEIR,ude_sir_h2,2,3,-425.0921028858747,-132.88340867751674,0.00048052652035927216,3,17.57048679998843,-419.0921028858747,-418.8678038204541,-410.96351228193765,-121.7030123255161,162.11300171164157,-419.3187047643002,-403.18263570446993,-411.4971064769972,-406.07328894691136,-400.64947141682546,-389.8018363566538,2.886699060787249,21.695270120343444,0.21419706106130365
ok,seir,SEIR,ude_sir_h2,3,3,-424.56251376762145,-120.8978559490404,0.0004942441397049458,3,36.028589200010174,-418.56251376762145,-418.3382147022009,-410.4339231636844,-254.96206293740403,92.03761615369478,-418.7807424274611,-402.59996955694197,-410.94780039583793,-405.51244107610586,-400.07708175637384,-389.20636311690976,2.890885670080156,21.741437278928178,0.22110693175129198
ok,seir,SEIR,ude_sir_h2,4,3,-418.2478797155254,-140.43414363605655,0.0004941214171985225,3,18.01547149999533,-412.2478797155254,-412.02358065010486,-404.1192891115884,-244.52704994206653,94.5849671219574,-412.49170296449813,-396.4207816062239,-404.693435588998,-399.2868584670814,-393.8802813451648,-383.0671271013316,2.8780883755136317,21.6263084876664,0.2007896216351433
ok,seir,SEIR,ude_sir_h2,5,3,-407.8513196680348,-124.60042248088908,0.00044025295204040563,3,49.41934209999454,-401.8513196680348,-401.62702060261427,-393.7227290640978,-326.6402964535898,44.56180120677537,-402.0867900532914,-385.98718764659486,-394.2772065095381,-388.8612409345066,-383.44527535947515,-372.6133442094123,2.8822648073717048,21.663862300125828,0.20026972131412948
ok,seir,SEIR,ude_sir_h2,6,3,-418.27638281888096,-88.22455799851406,0.0005660957519275066,3,35.42316569999093,-412.27638281888096,-412.0520837534604,-404.14779221494393,-216.7576312084224,107.2460546948304,-412.49085581508984,-396.2430866818508,-404.65282574144976,-399.1999094607107,-393.74699317997175,-382.8411606184937,2.8927635018955686,21.811665122956057,0.2216310140740638
ok,seir,SEIR,ude_sir_h2,7,3,-355.4388131556433,-142.4485264528974,0.0004939833599955523,3,48.466131599998334,-349.4388131556433,-349.21451409022274,-341.31022255170626,-82.59534523312685,147.75094685542038,-349.66398967049037,-333.4940596229327,-341.84046035035556,-336.4071437521643,-330.973827153973,-320.1071939575904,2.887411742576463,21.733266392765103,0.21148713994543422
ok,seir,SEIR,ude_sir_h2,8,3,-344.080648010284,-139.5460389433671,0.0004429492918356535,3,47.19916629999352,-338.080648010284,-337.85634894486344,-329.95205740634697,-76.93194062056935,151.61530686720465,-338.3250446543199,-322.2535536034753,-330.5275540944403,-325.1186516101139,-319.7097491257874,-308.8919441571346,2.8778016779820352,21.635609937305684,0.1914844695030214
ok,seir,SEIR,ude_sir_h2,9,3,-415.40279983950666,-105.03429128551596,0.0004937247493399518,3,43.708447400000296,-409.40279983950666,-409.1785007740861,-401.27420923556963,-99.8889745944245,163.04566846995274,-409.6233078211376,-393.43716739210686,-401.79345373513036,-396.35602610683515,-390.91859847853993,-380.04374322194957,2.889746009184526,21.74971051318079,0.21592193421898517
ok,sir,SIR,ude_sir_h2,0,2,-18.311832093619614,82.83863743645577,0.001428712607168486,2,14.20786140000564,-14.311832093619614,-14.200720982508503,-8.892771690994946,11.818811244287097,25.578596546704865,-14.312042192516403,2.138498909319111,-8.893266424544791,-3.8141788741899845,1.264908676164822,11.423083776874435,1.9998949505516057,20.316350201419226,0.13398080151950012
