experiment,dimension,trial,relative_spectrum_error,raw_dimension_original,raw_dimension_duplicate,d_obs_original,d_obs_duplicate,c_obs_original,c_obs_duplicate
coordinate_change,5,39.0,1.022170769489694e-09,,,,,,
coordinate_change,5,40.0,8.383868213780645e-10,,,,,,
coordinate_change,5,41.0,2.302603877635557e-09,,,,,,
coordinate_change,5,42.0,5.122912886711459e-10,,,,,,
coordinate_change,5,43.0,1.7559467189641732e-09,,,,,,
coordinate_change,5,44.0,1.0879805073397173e-09,,,,,,
coordinate_change,5,45.0,2.0829203514083567e-09,,,,,,
coordinate_change,5,46.0,3.898930967398926e-09,,,,,,
coordinate_change,5,47.0,4.37067349692411e-09,,,,,,
coordinate_change,5,48.0,2.065551923556033e-09,,,,,,
coordinate_change,5,49.0,3.2343327796320005e-09,,,,,,
coordinate_change,5,50.0,3.3511128198338626e-09,,,,,,
coordinate_change,5,51.0,5.934915334833757e-10,,,,,,
coordinate_change,5,52.0,1.5475616097374238e-09,,,,,,
coordinate_change,5,53.0,2.802177867765525e-09,,,,,,
coordinate_change,5,54.0,1.7508052426226663e-09,,,,,,
coordinate_change,5,55.0,4.2329952825557915e-09,,,,,,
coordinate_change,5,56.0,1.4818692058692885e-09,,,,,,
coordinate_change,5,57.0,6.68841379532908e-10,,,,,,
coordinate_change,5,58.0,3.0375815995508036e-09,,,,,,
coordinate_change,5,59.0,3.740666159747014e-09,,,,,,
coordinate_change,5,60.0,2.293163977529414e-09,,,,,,
coordinate_change,5,61.0,2.5650055796237947e-09,,,,,,
coordinate_change,5,62.0,4.550881260203634e-09,,,,,,
coordinate_change,5,63.0,4.03763407329908e-09,,,,,,
coordinate_change,5,64.0,1.778913920655302e-09,,,,,,
coordinate_change,5,65.0,1.1734747772608436e-09,,,,,,
coordinate_change,5,66.0,2.658093685463488e-09,,,,,,
coordinate_change,5,67.0,1.2201348116665375e-09,,,,,,
coordinate_change,5,68.0,5.048387262572691e-09,,,,,,
coordinate_change,5,69.0,5.395004988285711e-09,,,,,,
coordinate_change,5,70.0,1.3265091632022606e-09,,,,,,
coordinate_change,5,71.0,8.350903423342225e-09,,,,,,
coordinate_change,5,72.0,7.63320429108786e-10,,,,,,
coordinate_change,5,73.0,2.1673637985365957e-10,,,,,,
coordinate_change,5,74.0,6.266742125137249e-09,,,,,,
coordinate_change,5,75.0,2.2146528988804963e-09,,,,,,
coordinate_change,5,76.0,2.0470445036277075e-09,,,,,,
coordinate_change,5,77.0,6.6531155247128534e-09,,,,,,
coordinate_change,5,78.0,3.903093979747571e-10,,,,,,
coordinate_change,5,79.0,2.186046877639726e-09,,,,,,
coordinate_change,5,80.0,5.444297142506025e-09,,,,,,
coordinate_change,5,81.0,1.447096609060287e-10,,,,,,
coordinate_change,5,82.0,4.34100595265714e-09,,,,,,
coordinate_change,5,83.0,3.447741719641575e-09,,,,,,
coordinate_change,5,84.0,8.006902640143903e-10,,,,,,
coordinate_change,5,85.0,3.4641934376719827e-09,,,,,,
coordinate_change,5,86.0,1.6330403144998306e-09,,,,,,
coordinate_change,5,87.0,2.9349123624232144e-09,,,,,,
coordinate_change,5,88.0,5.437816132664434e-10,,,,,,
coordinate_change,5,89.0,4.54522378940218e-09,,,,,,
coordinate_change,5,90.0,3.395640865784554e-10,,,,,,
coordinate_change,5,91.0,2.7421747104684054e-09,,,,,,
coordinate_change,5,92.0,2.6222287156291008e-09,,,,,,
coordinate_change,5,93.0,3.0587178429414893e-09,,,,,,
coordinate_change,5,94.0,1.3488118093827328e-09,,,,,,
coordinate_change,5,95.0,1.2687511109371931e-09,,,,,,
coordinate_change,5,96.0,4.513663280897666e-10,,,,,,
coordinate_change,5,97.0,1.4389338585673366e-09,,,,,,
coordinate_change,5,98.0,3.592803267686443e-09,,,,,,
coordinate_change,5,99.0,1.439623847279172e-09,,,,,,
exact_duplication,5,,6.421846147718348e-16,5.0,10.0,4.15156910986048,4.151569109860481,12.488925253261105,12.488925253261103
coordinate_change,11,0.0,2.7228824853182373e-09,,,,,,
coordinate_change,11,1.0,7.3681892919914e-10,,,,,,
coordinate_change,11,2.0,3.79047428783698e-10,,,,,,
coordinate_change,11,3.0,1.2282283479076192e-09,,,,,,
coordinate_change,11,4.0,1.2915843564899056e-09,,,,,,
coordinate_change,11,5.0,2.7574704203289654e-09,,,,,,
coordinate_change,11,6.0,1.5795318838136775e-09,,,,,,
coordinate_change,11,7.0,2.011106047366954e-09,,,,,,
coordinate_change,11,8.0,1.4295207940290884e-09,,,,,,
coordinate_change,11,9.0,2.2432125610834395e-09,,,,,,
coordinate_change,11,10.0,9.342146956458878e-10,,,,,,
coordinate_change,11,11.0,1.0567775902216337e-09,,,,,,
coordinate_change,11,12.0,1.4040263335531106e-09,,,,,,
coordinate_change,11,13.0,6.049720796632435e-10,,,,,,
coordinate_change,11,14.0,2.972029425943453e-09,,,,,,
coordinate_change,11,15.0,2.339560448357962e-09,,,,,,
coordinate_change,11,16.0,2.4749958368541386e-09,,,,,,
coordinate_change,11,17.0,6.403492602389526e-10,,,,,,
coordinate_change,11,18.0,7.920613224576064e-10,,,,,,
coordinate_change,11,19.0,6.951231205601708e-10,,,,,,
coordinate_change,11,20.0,1.7297599628155283e-09,,,,,,
coordinate_change,11,21.0,5.579964371520028e-10,,,,,,
coordinate_change,11,22.0,5.669346853264498e-10,,,,,,
coordinate_change,11,23.0,2.4864124263839855e-09,,,,,,
coordinate_change,11,24.0,1.381317474242773e-09,,,,,,
coordinate_change,11,25.0,7.82757579122407e-10,,,,,,
coordinate_change,11,26.0,2.444068291375591e-09,,,,,,
coordinate_change,11,27.0,3.3138455943726414e-09,,,,,,
coordinate_change,11,28.0,1.274029928438016e-09,,,,,,
coordinate_change,11,29.0,3.6332785155645697e-10,,,,,,
coordinate_change,11,30.0,5.513888672543092e-10,,,,,,
coordinate_change,11,31.0,3.186475605299344e-10,,,,,,
coordinate_change,11,32.0,2.9026304768929376e-09,,,,,,
coordinate_change,11,33.0,1.644350218965801e-09,,,,,,
coordinate_change,11,34.0,2.5842196422450915e-09,,,,,,
coordinate_change,11,35.0,1.2402166744293918e-09,,,,,,
coordinate_change,11,36.0,1.4225184924504912e-09,,,,,,
coordinate_change,11,37.0,1.474893787680228e-09,,,,,,
coordinate_change,11,38.0,3.1638651669229543e-10,,,,,,
coordinate_change,11,39.0,1.3281093206931486e-09,,,,,,
coordinate_change,11,40.0,1.3687656213654948e-09,,,,,,
coordinate_change,11,41.0,2.969799044193423e-09,,,,,,
coordinate_change,11,42.0,2.6338872655848246e-09,,,,,,
coordinate_change,11,43.0,1.674015394904419e-09,,,,,,
coordinate_change,11,44.0,2.0321069867286255e-09,,,,,,
coordinate_change,11,45.0,1.449836411008296e-09,,,,,,
coordinate_change,11,46.0,1.0874918361794253e-09,,,,,,
coordinate_change,11,47.0,3.1611217359574495e-09,,,,,,
coordinate_change,11,48.0,9.298137489655099e-10,,,,,,
