candidate,seed,train_deviance,blocked_standardized_mse,observable_dimension,observable_complexity,aic,bic,gic_eff,gic_vol
neural_ode,9,11.45690420200486,1.4428636277207136,1.0847161354480186,2.1702655767597747,33.456904202004864,29.160721238779963,13.202687474623904,14.287820263003791
minimal_fixed,10,36.456078904927345,95.99457579468259,1.6644405912046338,10.340368380533253,42.456078904927345,41.28439264222965,39.13489269540631,44.30507688567293
minimal_gamma,10,29.356759162942403,12.632672597328796,2.733678166241689,15.306961274158573,39.3567591629424,37.403948725112905,33.756444444085105,41.40992508116439
ude_appearance,10,31.529351663711566,5.344360500205066,2.278155604063152,11.430339033020454,51.529351663711566,47.62373078805257,35.19590166331501,40.91107117982524
neural_ode,10,10.529858670960927,3.3943240512009787,1.0973318017572753,2.061658854796331,32.52985867096093,28.23367570773603,12.295946075228706,13.326775502626871
minimal_fixed,11,26.47856390495076,407.01803195038065,1.6176328918091927,11.530487928170341,32.47856390495076,31.306877642253063,29.082043609428887,34.84728757351406
minimal_gamma,11,23.545853451389284,16.65811383209309,2.6359182472542266,15.789031813505996,33.545853451389284,31.593043013559786,27.78820021259708,35.682716119350076
ude_appearance,11,21.399182318637855,648.2285130587958,2.228609096954167,12.636467134368258,41.399182318637855,37.49356144297886,24.985990291271413,31.304223858455543
neural_ode,11,15.154120169586719,88.66820994741833,0.8984073619851307,2.0416073154245646,37.15412016958672,32.857937206361825,16.600051038775494,17.620854696487775
minimal_fixed,12,11.15638622378853,2.483666471548128,1.4169914388110807,2.93709335873466,17.15638622378853,15.984699961090831,13.436945967005627,14.905492646372958
minimal_gamma,12,10.497872813749314,3.4349787863304675,2.3277867692470093,7.149101364411552,20.497872813749314,18.545062375919816,14.24430109223794,17.818851774443715
ude_appearance,12,13.905812550412143,1.8424174561337687,1.9181311354114927,4.150792701401252,33.90581255041214,30.000191674753147,16.992925520763666,19.068321871464292
neural_ode,12,9.482429115274586,238.29285585317393,1.3481817140558479,4.079125722901139,31.482429115274584,27.18624615204969,11.652243878726457,13.691806740177027
