status,candidate,candidate_label,truth,seed,dimension,deviance,trajectory_mse,jacobian_rank,wall_seconds,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,d_obs,c_obs,prior_energy
ok,neural_ode,Neural ODE,rm,12,14,-270.4076076071499,2.544825313894248e-05,13,35.37884729998768,-242.40760760714988,-233.47143739438394,-212.6277262165186,8.988531378353037e+30,4.4942656891765186e+30,-259.5116630996926,-224.26194318668334,-247.92309399001485,-237.21256674308322,-226.50203949615158,-205.0809850022883,5.447972253728634,42.842108987726554,3.3035554327399748
ok,neural_ode,Neural ODE,rm,13,14,-286.2084406317652,9.011076182171295e-05,14,71.56885310000507,-258.2084406317652,-249.27227041899926,-228.4285592411339,1.9858356545860812e+24,9.929178272930406e+23,-273.40431899687326,-234.300844430938,-259.78627529693404,-248.12272320591762,-236.45917111490118,-213.13206693286833,6.4020608174459745,46.65420836406571,5.25338783676145
ok,neural_ode,Neural ODE,rm,14,14,-294.12296975137787,5.547709779554311e-05,14,33.461718200007454,-266.12296975137787,-257.1867995386119,-236.34308836074658,5.932829091329419e+26,2.9664145456647094e+26,-282.1871994414304,-246.103963422221,-269.49270572228556,-258.3598487584397,-247.22699179459374,-224.96127786690192,5.967885154973753,44.531427855383626,3.487578473773225
ok,neural_ode,Neural ODE,rm,15,14,-296.66926354075423,8.120465143831474e-05,13,31.856801299989456,-268.66926354075423,-259.7330933279883,-238.88938215012294,3.3668190403618415e+29,1.6834095201809207e+29,-285.31226314808464,-248.85864095489404,-273.23333012497557,-262.2049139307605,-251.1764977365454,-229.11966534811523,5.6785001963348005,44.11366477686033,3.6969578089998305
ok,neural_ode,Neural ODE,rm,16,14,-278.5589281520837,5.522648448634205e-05,14,65.97082230000524,-250.5589281520837,-241.62275793931775,-220.7790467614524,2.568744101093564e+19,1.284372050546782e+19,-266.18114049927067,-227.91520859430565,-253.01653163572814,-241.44934309930832,-229.88215456288847,-206.74777749004883,6.188893826406501,46.26875414567932,4.374965412098717
ok,neural_ode,Neural ODE,rm,17,14,-297.9613333925387,1.893282004520782e-05,13,29.753053200023714,-269.9613333925387,-261.02516317977273,-240.1814520019074,1.9566803901912322e+33,9.783401950956161e+32,-286.20778556802435,-250.2381304006829,-273.70709770612615,-262.6399860609225,-251.57287441571887,-229.4386511253116,5.876773912257171,44.26844658081456,3.454756411041202
ok,neural_ode,Neural ODE,rm,18,14,-274.49610545563405,8.131099894092369e-05,14,27.053759100002935,-246.49610545563405,-237.5599352428681,-216.71622406500276,8.41680097787029e+22,4.208400488935145e+22,-262.3002191372991,-224.34112835692844,-249.32907456538345,-237.74360041588116,-226.15812626637884,-202.98717796737424,6.0979431591674835,46.34189659800921,3.813080500696426
ok,neural_ode,Neural ODE,rm,19,14,-294.45358699488895,3.7008050654908364e-05,14,28.806320200004848,-266.45358699488895,-257.517416782123,-236.67370560425766,5.635749995912166e+29,2.817874997956083e+29,-281.8457431493287,-243.1736957699873,-268.4364540667436,-256.52495040160204,-244.6134467364605,-220.79043940617746,6.30392192278011,47.64601466056613,3.633876564335565
ok,rm,Rosenzweig--MacArthur,rm,0,6,-283.7384618195357,3.810268843090586e-05,6,21.629613499972038,-271.7384618195357,-270.211189092263,-258.97565550926515,45758.617867975525,22975.397812429816,-274.4462539987319,-249.40125675262374,-264.56336661442356,-255.9941557147224,-247.4249448150213,-230.28652301561903,4.646103910401905,34.27684359880453,0.06036146810740264
ok,rm,Rosenzweig--MacArthur,rm,1,6,-303.3764639934693,8.078910197148314e-05,6,42.52586350002093,-291.3764639934693,-289.8491912661966,-278.61365768319877,28372.33010535575,14292.07740409457,-294.01239242033427,-268.50747907737,-284.05307310671486,-275.3633908623275,-266.67370861794006,-249.2943441291653,4.6820357865675195,34.758728977549566,0.11025593854977628
