scenario,seed,criterion,mode,forecast_mse,log_score,coverage_90,mean_width_90,between_fraction,selected
early_seir_infected_only,15,aic,average,3.299102195368453e-06,-2.255777459530109,1.0,0.14576121816992044,0.06557695999297254,sir
early_seir_infected_only,15,bic,hard,8.46757973320698e-06,-2.3408186239819315,1.0,0.1341139717915966,0.0,sir
early_seir_infected_only,15,bic,average,3.0811495563529076e-06,-2.292487978989037,1.0,0.14061872639835946,0.04406969124775325,sir
early_seir_infected_only,15,gic_eff,hard,7.199598851375077e-06,-2.3407887405512775,1.0,0.13415280530245913,0.0,ude_sir_h2
early_seir_infected_only,15,gic_eff,average,9.248318532637454e-05,-2.1128585385905407,1.0,0.1621111789592006,0.3626455296268432,ude_sir_h2
early_seir_infected_only,15,gic_vol_050,hard,8.46757973320698e-06,-2.3408186239819315,1.0,0.1341139717915966,0.0,sir
early_seir_infected_only,15,gic_vol_050,average,4.284447152974383e-05,-2.1573540580327273,1.0,0.15670540273915906,0.3435842068192512,sir
early_seir_infected_only,15,ogic_p,hard,7.199598851375077e-06,-2.3407887405512775,1.0,0.13415280530245913,0.0,ude_sir_h2
early_seir_infected_only,15,ogic_p,average,0.00019684124173237002,-2.048603509742463,1.0,0.16924605891564806,0.4125447177250581,ude_sir_h2
early_seir_infected_only,16,aic,hard,0.001795535988476204,-1.83704964998726,1.0,0.13082207761728745,0.0,sir
early_seir_infected_only,16,aic,average,0.0015187478872839253,-1.8981639144183742,1.0,0.131580552002453,0.026110157600613984,sir
early_seir_infected_only,16,bic,hard,0.001795535988476204,-1.83704964998726,1.0,0.13082207761728745,0.0,sir
early_seir_infected_only,16,bic,average,0.0015666283289646945,-1.8897038545581104,1.0,0.1307760633395464,0.020305074096537017,sir
early_seir_infected_only,16,gic_eff,hard,0.001795535988476204,-1.83704964998726,1.0,0.13082207761728745,0.0,sir
early_seir_infected_only,16,gic_eff,average,0.0022852171898807105,-1.6785243390712543,1.0,0.14494490891413633,0.30377677505543565,sir
early_seir_infected_only,16,gic_vol_050,hard,0.000725846295440649,-2.1622881891875303,1.0,0.11476981808301363,0.0,seir
early_seir_infected_only,16,gic_vol_050,average,0.0021887933792346017,-1.7004416978830375,1.0,0.1438771424666286,0.31191458689860035,seir
early_seir_infected_only,16,ogic_p,hard,0.001795535988476204,-1.83704964998726,1.0,0.13082207761728745,0.0,sir
early_seir_infected_only,16,ogic_p,average,0.0025494507074441957,-1.6149778047843222,1.0,0.1479759314741049,0.3425219602532323,sir
early_seir_infected_only,17,aic,hard,0.001287987461826638,-1.9261893610206233,1.0,0.11368471304838514,0.0,sir
early_seir_infected_only,17,aic,average,0.0009772895959433085,-2.0261752834705367,1.0,0.11967847734571901,0.049373877768923026,sir
early_seir_infected_only,17,bic,hard,0.001287987461826638,-1.9261893610206233,1.0,0.11368471304838514,0.0,sir
early_seir_infected_only,17,bic,average,0.0010158453089954955,-2.020259562387672,1.0,0.11785688811965783,0.03999444239900383,sir
early_seir_infected_only,17,gic_eff,hard,0.0004668680798199786,-2.2517197893495857,1.0,0.11421742407146081,0.0,seir
early_seir_infected_only,17,gic_eff,average,0.0010741118969276953,-1.9883833698920312,1.0,0.1234209405152844,0.14709465555048826,seir
early_seir_infected_only,17,gic_vol_050,hard,0.0004668680798199786,-2.2517197893495857,1.0,0.11421742407146081,0.0,seir
early_seir_infected_only,17,gic_vol_050,average,0.0010001591198427284,-2.0217189917032816,1.0,0.1215484574962775,0.13240357864988916,seir
early_seir_infected_only,17,ogic_p,hard,0.0004668680798199786,-2.2517197893495857,1.0,0.11421742407146081,0.0,seir
early_seir_infected_only,17,ogic_p,average,0.001139424522399703,-1.9578767376411557,1.0,0.12615632000858923,0.17850058417644077,seir
early_seir_infected_only,18,aic,hard,0.0008005394029101069,-2.13079086657841,1.0,0.12220500231041447,0.0,sir
early_seir_infected_only,18,aic,average,0.000761046029546436,-2.1086741045864694,1.0,0.13526311510916278,0.05786704785232738,sir
early_seir_infected_only,18,bic,hard,0.0008005394029101069,-2.13079086657841,1.0,0.12220500231041447,0.0,sir
early_seir_infected_only,18,bic,average,0.0007096451062383785,-2.1358302639608424,1.0,0.13099313704543,0.04428050746939557,sir
early_seir_infected_only,18,gic_eff,hard,0.0002324165051079657,-2.3080293419644495,1.0,0.1265860059832979,0.0,seir
early_seir_infected_only,18,gic_eff,average,0.0007270237670664387,-2.1057069025447803,1.0,0.13508449860606386,0.13245712431150827,seir
early_seir_infected_only,18,gic_vol_050,hard,0.0002324165051079657,-2.3080293419644495,1.0,0.1265860059832979,0.0,seir
early_seir_infected_only,18,gic_vol_050,average,0.0006096616581801611,-2.1523696492032016,1.0,0.1313792378216991,0.11911556277892586,seir
early_seir_infected_only,18,ogic_p,hard,0.0002324165051079657,-2.3080293419644495,1.0,0.1265860059832979,0.0,seir
early_seir_infected_only,18,ogic_p,average,0.0008305110902384104,-2.0637358705799276,1.0,0.1389096106034843,0.15782593027837155,seir
early_seir_infected_only,19,aic,hard,0.00039405666386709676,-2.245156934125563,1.0,0.13329685647906925,0.0,sir
early_seir_infected_only,19,aic,average,0.00030125379910935505,-2.2210389296768613,1.0,0.13866229707639846,0.041875423007346396,sir
early_seir_infected_only,19,bic,hard,0.00039405666386709676,-2.245156934125563,1.0,0.13329685647906925,0.0,sir
early_seir_infected_only,19,bic,average,0.0003071342250890651,-2.2410106815728956,1.0,0.13606128666029835,0.02969460336994827,sir
early_seir_infected_only,19,gic_eff,hard,0.00038778402835482176,-2.2458410092284047,1.0,0.13345577863230978,0.0,ude_sir_h2
early_seir_infected_only,19,gic_eff,average,0.0004386882328317821,-2.1394096360745976,1.0,0.14511258949020397,0.20205037436271725,ude_sir_h2
early_seir_infected_only,19,gic_vol_050,hard,0.00039405666386709676,-2.245156934125563,1.0,0.13329685647906925,0.0,sir
early_seir_infected_only,19,gic_vol_050,average,0.00037720209085601665,-2.1743913742905416,1.0,0.14209214565581438,0.19603318579120885,sir
early_seir_infected_only,19,ogic_p,hard,0.00038778402835482176,-2.2458410092284047,1.0,0.13345577863230978,0.0,ude_sir_h2
early_seir_infected_only,19,ogic_p,average,0.0005160358256414161,-2.095478044005305,1.0,0.14900372834031472,0.23635664363306264,ude_sir_h2
missing_neural_feedback,0,aic,hard,3.400531902218199e-05,-3.197947082215612,1.0,0.049818207197154615,0.0,tv_sir
missing_neural_feedback,0,aic,average,3.0878366687975196e-05,-3.1968647056813335,1.0,0.05033830382925159,0.019105683973346263,tv_sir
missing_neural_feedback,0,bic,hard,3.400531902218199e-05,-3.197947082215612,1.0,0.049818207197154615,0.0,tv_sir
missing_neural_feedback,0,bic,average,3.399506569600396e-05,-3.1979423543779655,1.0,0.04982004730992484,7.099031889232244e-05,tv_sir
missing_neural_feedback,0,gic_eff,hard,5.859111392615573e-06,-3.2315669946571455,1.0,0.05122834061958476,0.0,neural_ode_h2
missing_neural_feedback,0,gic_eff,average,1.1285725127081633e-06,-3.1673276659278966,1.0,0.05526318855924061,0.13886153708641602,neural_ode_h2
missing_neural_feedback,0,gic_vol_050,hard,5.859111392615573e-06,-3.2315669946571455,1.0,0.05122834061958476,0.0,neural_ode_h2
missing_neural_feedback,0,gic_vol_050,average,3.424141999729947e-07,-3.1943595030496152,1.0,0.05381668185908382,0.09305561499437326,neural_ode_h2
missing_neural_feedback,0,ogic_p,hard,5.859111392615573e-06,-3.2315669946571455,1.0,0.05122834061958476,0.0,neural_ode_h2
