seed,scenario,criterion,model,score,weight,selected
10,redundant_parameterization,aic,SIR,18.579559162078347,0.7645524548427867,1
10,redundant_parameterization,aic,Redundant-SIR,26.579559162078368,0.014003266674395578,0
10,redundant_parameterization,aic,Duplicate-UDE,33.788315478499385,0.0003809498568143123,0
10,redundant_parameterization,aic,TV-SIR,21.061242003968363,0.2210633286260035,0
10,redundant_parameterization,bic,SIR,20.668604037525192,0.9057870520925834,1
10,redundant_parameterization,bic,Redundant-SIR,32.846693788418904,0.002053938893633956,0
10,redundant_parameterization,bic,Duplicate-UDE,44.23353985573361,6.917757154367437e-06,0
10,redundant_parameterization,bic,TV-SIR,25.239331754862057,0.09215209125662847,0
10,redundant_parameterization,gic_eff,SIR,20.63716042528811,0.32697368820970224,0
10,redundant_parameterization,gic_eff,Redundant-SIR,20.574907046342233,0.33731135063100004,1
10,redundant_parameterization,gic_eff,Duplicate-UDE,20.845552922480696,0.2946191351402047,0
10,redundant_parameterization,gic_eff,TV-SIR,24.785106712962975,0.04109582601909298,0
10,redundant_parameterization,gic_aic,SIR,18.55890330364388,0.292186627261234,0
10,redundant_parameterization,gic_aic,Redundant-SIR,18.51800797098053,0.2982226630371741,0
10,redundant_parameterization,gic_aic,Duplicate-UDE,18.4243380983612,0.3125221464190818,1
10,redundant_parameterization,gic_aic,TV-SIR,20.762853635223916,0.09706856328250998,0
10,redundant_parameterization,cv,SIR,1.945182259112529,0.24306423460225268,0
10,redundant_parameterization,cv,Redundant-SIR,1.9451822591125263,0.24306423460225302,0
10,redundant_parameterization,cv,Duplicate-UDE,1.777338562985038,0.26434302487841915,1
10,redundant_parameterization,cv,TV-SIR,1.8926874341083983,0.24952850591707515,0
11,redundant_parameterization,aic,SIR,24.388055856101076,0.6684144692581184,1
11,redundant_parameterization,aic,Redundant-SIR,32.38805585610108,0.012242438046936569,0
11,redundant_parameterization,aic,Duplicate-UDE,38.448345360023325,0.0005914155916935532,0
11,redundant_parameterization,aic,TV-SIR,25.869048028363377,0.3187516771032515,0
