status,candidate,seed,dimension,deviance,trajectory_mse,jacobian_rank,wall_seconds,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,d_obs,c_obs,prior_energy
ok,ude_sir_h2,10,11,-212.6726498200863,2.4916464453376495e-05,9,16.761762000009185,-190.6726498200863,-180.1126498200863,-172.95255278099984,20752.689404572986,10446.523383354643,-205.2712908014234,-181.80818609761153,-199.30979989088593,-192.6205827075624,-185.93136552423888,-172.55293115759184,3.7006795093314473,26.756868733294095,4.107594989180672
ok,ude_sir_h2,11,11,-205.4362356300304,9.400864147847382e-06,9,20.76228419999825,-183.4362356300304,-172.8762356300304,-165.71613859094396,18296.13220443303,9228.1636648595,-197.71342099377847,-175.50542116835092,-191.49301077699386,-184.89857905445473,-178.30414733191557,-165.11528388683732,3.8614073181259663,26.377726890156545,3.553087571522951
ok,ude_sir_h2,12,11,-208.83873454313914,3.7395499770536164e-05,9,15.035400100008701,-186.83873454313914,-176.27873454313914,-169.11863750405269,29408.968004430688,14781.911602412645,-201.35357569015144,-179.9448028410804,-195.32458745251876,-188.8195418650648,-182.31449627761083,-169.30440510270287,3.742579426493845,26.020182349815872,2.8737493522428585
ok,ude_sir_h2,13,11,-217.3172654894102,1.4678212937093646e-05,9,38.43747959999018,-195.3172654894102,-184.7572654894102,-177.59716845032375,20110.66677894508,10134.788336266656,-209.52237302398868,-187.1809782964524,-203.24390707414716,-196.55933112434712,-189.8747551745471,-176.50560327494702,3.8974462327107595,26.738303799200132,3.397983393757667
ok,ude_sir_h2,14,11,-209.02237383509302,1.3203477670494949e-05,9,19.484605299992836,-187.02237383509302,-176.46237383509302,-169.30227679600654,26359.39077734288,13251.694717376087,-201.34179391312338,-179.56165786428963,-195.15540202522513,-188.6235047815626,-182.09160753790007,-169.02781305057502,3.8402899609848244,26.12758897465011,3.3331269961532857
ok,ude_sir_h2,15,11,-212.11766949431325,2.947718166498414e-05,9,17.66773010000179,-190.11766949431325,-179.55766949431325,-172.3975724552268,20834.22376218484,10500.018729389234,-204.53942141709916,-181.26234645776864,-198.43545363007627,-192.05200405725617,-185.6685544844361,-172.90165533879593,3.7891240386070404,25.53379829128034,5.321524745264265
ok,ude_sir_h2,16,11,-224.7636242625269,4.472896338304695e-05,9,18.365409099991666,-202.7636242625269,-192.2036242625269,-185.04352722344044,20706.45472658143,10438.647036742324,-217.09575795619804,-195.97916987336356,-210.91960636388492,-204.43178398410058,-197.94396160431623,-184.9683168447475,3.8339331531644216,25.951289519137415,2.833164870025906
ok,ude_sir_h2,17,11,-213.58266741720385,3.101659678015453e-05,9,17.252150100001018,-191.58266741720385,-181.02266741720385,-173.86257037811737,45952.22448973419,23047.718968508227,-205.93912175751683,-182.42575629257698,-199.78255944786488,-193.00710028183843,-186.231641115812,-172.68072278375914,3.8217728298435176,27.101836664105754,4.055074460521124
ok,ude_sir_h2,18,11,-206.756272580349,2.906646646362878e-05,9,18.280721100003575,-184.756272580349,-174.196272580349,-167.03617554126254,41117.028421722775,20637.268723689973,-198.98927455429805,-176.75308755064353,-192.73327643047915,-186.0475560467195,-179.36183566295983,-165.99039489544052,3.883499013025473,26.742881535038624,3.2603034946668394
ok,ude_sir_h2,19,11,-198.77269466165856,3.0524986577810564e-05,9,17.723707500001183,-176.77269466165856,-166.21269466165856,-159.05259762257208,88980.6608960894,44563.400340429704,-191.51108094702656,-167.5872293568927,-185.66214914322472,-179.00043427382354,-172.33871940442236,-159.01528966561997,3.630806857316004,26.646859477604742,4.538605827161133
ok,ude_sir_h4,0,19,-193.20797889678718,4.029821718620101e-05,11,13.398557900000014,-155.20797889678718,-110.50209654384601,-124.60053855654692,64928.026355864975,32524.766470040293,-185.89696886438102,-164.07417481706415,-180.00825035401868,-173.42982718359437,-166.85140401317003,-153.69455767232137,3.6555050162030773,26.31369268169731,2.8201113980257277
ok,ude_sir_h4,1,19,-211.3068242178388,2.9294760420725517e-05,12,12.490862599996035,-173.3068242178388,-128.6009418648976,-142.69938387759854,116154.7454253608,58140.29117916962,-203.73464134141952,-181.35243153040162,-197.63555882469868,-190.92156732574512,-184.20757582679155,-170.77959282888443,3.786091438209635,26.855965995814238,3.098426691622934
ok,ude_sir_h4,2,19,-213.98008157545107,2.0080190912355834e-05,13,12.48176140000578,-175.98008157545107,-131.27419922250988,-145.3726412352108,79598.89197896107,39859.867362715195,-206.2413914720754,-183.56354455987156,-200.0081942181102,-193.40602622152278,-186.80385822493537,-173.59952223176055,3.8693450516878336,26.40867198634963,4.007865029229892
ok,ude_sir_h4,3,19,-222.11702057493738,2.4723185406804154e-05,14,12.695578300001216,-184.11702057493738,-139.41113822199623,-153.50958023469713,70819.61625273142,35468.8518873765,-214.37312181288428,-191.89446663964654,-208.13572919813691,-201.3970434737238,-194.6583577493107,-181.18098630048448,3.8719493810265497,26.95474289765243,3.2678110376384146
ok,ude_sir_h4,4,19,-219.07280951509946,2.868807782640991e-05,13,12.274294100003317,-181.07280951509946,-136.36692716215828,-150.4653691748592,68203.39963880702,34164.90140550171,-211.27541134060695,-188.70754592591584,-204.9949271449523,-198.24877529707013,-191.50262344918795,-178.0103197534236,3.8986990872462512,26.984607391528698,3.380656197654919
ok,ude_sir_h4,5,19,-201.6673699649377,1.8282724414781103e-05,12,30.502203099997132,-163.6673699649377,-118.96148761199653,-133.05992962469745,88806.14739479742,44464.459587937105,-194.0048018721812,-171.46965508461784,-187.83291777344243,-181.21154684051965,-174.59017590759686,-161.3474340417513,3.8312840463782507,26.485483731691126,3.712231148628757
ok,ude_sir_h4,6,19,-216.32418679751746,1.4950427242486831e-05,13,20.015438000002177,-178.32418679751746,-133.61830444457627,-147.7167464572772,94633.65971290196,47377.85937944785,-208.6740235387789,-187.09392104879475,-202.5121310247016,-195.93011499028205,-189.34809895586253,-176.18406688702345,3.8250816293692735,26.328064137678165,2.902201611044549
ok,ude_sir_h4,7,19,-195.1731124237301,2.9783953327964658e-05,13,29.91763739999442,-157.1731124237301,-112.46723007078891,-126.56567208348983,60498.88201123108,30311.299883544205,-187.53053466184707,-165.97251150476816,-181.37475195415018,-174.79385969343002,-168.2129674327099,-155.0511829112696,3.821288880941511,26.323569042880592,2.8770318760813236
ok,ude_sir_h4,8,19,-203.18858162222278,1.9981037077844813e-05,14,15.038951800001087,-165.18858162222278,-120.48269926928161,-134.58114128198253,124117.43604757942,62123.623222507245,-195.54214058833685,-172.24675416657442,-189.38324617360448,-182.83448555237015,-176.2857249311358,-163.18820368866713,3.8232205169429747,26.195042484937336,4.74678497071103
ok,ude_sir_h4,9,19,-200.11590256306107,1.9159448156807794e-05,13,30.428959199998644,-162.11590256306107,-117.4100202101199,-131.5084622228208,78439.59093946776,39287.0536531985,-192.43734032394838,-169.5326091988514,-186.25257359677826,-179.77010949085343,-173.28764538492857,-160.32271717307887,3.839281119556352,25.92985642369938,4.6534369405102884
ok,ude_sir_h4,10,19,-212.56079720297544,2.550710707160132e-05,11,17.850354499998502,-174.56079720297544,-129.85491485003428,-143.95335686273518,81835.94271140338,40979.597649593685,-205.61966935213874,-182.77042137986632,-200.02887575770546,-193.4303886492531,-186.83190154080074,-173.63492732389605,3.470563925418352,26.39394843380942,3.3964273892996926
ok,ude_sir_h4,11,19,-205.4252027649709,9.2767876264612e-06,11,38.26281420000305,-167.4252027649709,-122.71932041202972,-136.81776242473063,59741.768112209895,29938.934067533664,-197.67034575888076,-175.3537538605743,-191.4241267283282,-184.8025930205146,-178.181059312701,-164.93799189707383,3.8774285030450604,26.48613483125437,3.5853140731422415
ok,ude_sir_h4,12,19,-208.88660504324906,4.057264828822151e-05,11,35.497887899997295,-170.88660504324906,-126.18072269030789,-140.2791647030088,65603.22047432273,32863.24216131322,-201.70309335766476,-180.62647605064123,-195.91706953266632,-189.4629767541558,-183.00888397564526,-170.1006984186242,3.591755842792153,25.816371114042116,2.443757878565717
ok,ude_sir_h4,13,19,-217.10665200205597,1.5814413052005175e-05,11,19.44144649998634,-179.10665200205597,-134.4007696491148,-148.4992116618157,40083.63614221016,20108.60056370197,-209.5205785572835,-187.609781871086,-203.4103077578742,-196.77480154689437,-190.13929533591454,-176.8682829139549,3.7930367223862267,26.54202484391928,2.95484528705069
ok,ude_sir_h4,14,19,-208.74368034917933,1.2209795829821715e-05,12,37.04385390000243,-170.74368034917933,-126.03779799623815,-140.13624000893907,58708.86410241388,29412.543837066434,-201.07389738261205,-179.2849865307227,-194.89620199914364,-188.3112414400225,-181.72628088090138,-168.55635976265916,3.8348914832836396,26.33984223648449,3.1188515819721383
ok,ude_sir_h4,15,19,-211.42527027350258,2.1544204514196542e-05,14,35.36838739999803,-173.42527027350258,-128.71938792056142,-142.81782993326232,92177.76033563662,46155.37726644623,-203.73251601539465,-180.11894683462032,-197.53631819941657,-190.99580141731056,-184.45528463520452,-171.3742510709925,3.8463771290539563,26.162067128424084,5.1442563104582
ok,ude_sir_h4,16,19,-224.73867868616048,4.54244275646208e-05,12,18.495821499993326,-186.73867868616048,-142.03279633321932,-156.13123834592022,46467.74653218921,23303.425931390026,-217.1852118938905,-196.23075615001727,-211.101204414775,-204.61963973255885,-198.1380750503427,-185.1749456859104,3.7767333961349925,25.9262587288646,2.581663807278606
ok,ude_sir_h4,17,19,-213.7327450392986,3.222645938352526e-05,11,16.69787109999743,-175.7327450392986,-131.02686268635745,-145.12530469905835,62118.85759554024,31120.520443650727,-206.3016891422677,-183.6188873916611,-200.31627861507388,-193.60011778823187,-186.88395696138986,-173.4516353077058,3.7155279485154575,26.864643307368084,3.2492143402694245
ok,ude_sir_h4,18,19,-206.70927395664648,3.0004598968744374e-05,12,17.75437090000196,-168.70927395664648,-124.00339160370531,-138.10183361640622,165165.7496216086,82636.86550143856,-199.08620939532682,-177.2029180430361,-192.94614376979018,-186.29389029764187,-179.64163682549358,-166.33712988119694,3.811532280659839,26.609013888593232,2.897342025017146
ok,ude_sir_h4,19,19,-198.8099858226343,2.9532573360229298e-05,10,17.93657869999879,-160.8099858226343,-116.10410346969313,-130.20254548239404,109814.21138816704,54965.91239564315,-192.09741533224857,-168.82062123756788,-186.6907153108239,-180.09346568381952,-173.49621605681511,-160.30171680280637,3.3562852451928595,26.388998508017533,3.6003660770489114
ok,ude_sir_h8,0,35,-193.31743008359538,4.157798436758915e-05,12,25.802047600009246,-123.31743008359538,2396.6825699164046,-66.93530314104753,174780.21125392333,87441.31591778429,-185.96841169778503,-164.26123630150295,-180.04907901875822,-173.43712917276667,-166.82517932677516,-153.6012796347921,3.674509192905173,26.44779938396613,2.6083943981263156
ok,ude_sir_h8,1,35,-211.33238178574342,3.33232908911592e-05,12,12.438007199991262,-141.33238178574342,2378.6676182142564,-84.95025484319557,165747.75425600118,82918.26628740528,-204.04120501455188,-181.73986722104522,-198.1684613820679,-191.4820641755321,-184.79566696899627,-171.42287255592467,3.645588385595773,26.745588826143244,2.846925738554974
ok,ude_sir_h8,2,35,-213.81748064525348,1.9588763404598765e-05,14,12.52914869999222,-143.81748064525348,2376.1825193547465,-87.43535370270563,132688.34226110752,66403.30776747345,-206.17016491688796,-182.8649398135883,-200.01056597165297,-193.3523826357781,-186.69419929990323,-173.37783262815347,3.823657864182767,26.632733343499492,4.319807488165685
ok,ude_sir_h8,3,35,-222.11667690272262,2.2495227935729692e-05,13,12.619786000010208,-152.11667690272262,2367.8833230972773,-95.73454996017476,210964.4643493016,105534.79620070099,-214.47838471368658,-192.10526576677825,-208.3260538590223,-201.63112757609238,-194.93620129316247,-181.54634872730267,3.819146094518016,26.779705131719634,3.2317060042247467
ok,ude_sir_h8,4,35,-218.80564043728086,3.2732903895501556e-05,13,12.221857099997578,-148.80564043728086,2371.194359562719,-92.423513494733,144889.77763078522,72486.50728422598,-211.17896725897322,-188.77934899046758,-205.03599504056368,-198.32142301213233,-191.606850983701,-178.17770692683834,3.8133365891538267,26.858288113725344,3.1680033330879414
ok,ude_sir_h8,5,35,-201.7196552007773,1.9560760669207458e-05,13,13.66123329999391,-131.7196552007773,2388.280344799223,-75.33752825822945,239270.54483872,119682.45876917584,-193.92244960353898,-171.039687606411,-187.64212052095849,-180.97207822810356,-174.3020359352486,-160.9619513495387,3.898602798619163,26.680169171419763,3.9997984229465313
ok,ude_sir_h8,6,35,-216.09334510380597,1.5945399238702357e-05,12,19.969201900006738,-146.09334510380597,2373.906654896194,-89.71121816125812,174879.0053802897,87490.76861434354,-208.61746862340803,-187.07535142367897,-202.5959569559137,-196.0332774620752,-189.47059796823675,-176.34523898055977,3.7379382401989663,26.250717975353915,2.767275704773074
ok,ude_sir_h8,7,35,-195.0685670170111,2.9838629256840968e-05,13,12.76336720000836,-125.0685670170111,2394.931432982989,-68.68644007446325,199844.23451823194,99973.04198820273,-187.41426860975997,-165.79193162000274,-181.24904540327748,-174.6454075938828,-168.04176978448808,-154.8344941656987,3.827149203625568,26.414551237578788,2.86208415942958
ok,ude_sir_h8,8,35,-203.2857541381221,2.0758614849743242e-05,15,14.72076389999711,-133.2857541381221,2386.7142458618778,-76.90362719557423,142362.92107414233,71239.92349982497,-195.44774711539952,-171.67632361592257,-189.134554159232,-182.47027095859582,-175.80598775795963,-162.47742135668724,3.9190035113612827,26.657132802544766,4.952297719654766
ok,ude_sir_h8,9,35,-199.9254749457191,1.8323585898010837e-05,15,29.996745000011288,-129.9254749457191,2390.074525054281,-73.54334800317123,176694.42119895638,88400.77875381827,-192.1882872619057,-168.64402378735284,-185.9563001452331,-179.35771971906036,-172.75913929288762,-159.56197844054216,3.868593841906689,26.394321704690917,4.887129453675339
ok,ude_sir_h8,10,35,-212.5914905676947,2.7011991396317585e-05,11,17.653412400002708,-142.5914905676947,2377.4085094323054,-86.20936362514685,177397.3901635793,88745.26980993834,-205.88077037610674,-183.25548529134707,-200.47556069442058,-193.90697915011276,-187.33839760580491,-174.20123451718928,3.3553600957939835,26.274326177231313,3.061679099116339
ok,ude_sir_h8,11,35,-205.53084239868525,1.1261513196607282e-05,14,19.803239500004565,-135.53084239868525,2384.4691576013147,-79.1487154561374,169665.2897044794,84887.38314239649,-197.80511626060303,-174.7969008342638,-191.58236094859288,-184.92948753230525,-178.2766141160176,-164.97086728344235,3.8628630690411048,26.611493665150526,4.12244789927091
ok,ude_sir_h8,12,35,-208.926137070689,3.93539581655013e-05,11,35.27251969999634,-138.926137070689,2381.073862929311,-82.54401012814115,139498.2100024286,69805.94290148685,-201.6876594020964,-180.6290442472154,-195.85736273379086,-189.346889926651,-182.8364171195111,-169.81547150523136,3.6192388342963087,26.041891228559503,2.255201594914093
ok,ude_sir_h8,13,35,-217.15966357817706,1.534612273678364e-05,12,19.844946800003527,-147.15966357817706,2372.840336421823,-90.7775366356292,231471.59872905962,115790.00499250084,-209.58587353831592,-187.5189846931709,-203.48549651740657,-196.8458207122274,-190.2061449070482,-176.92679329668988,3.786895019930569,26.558703220716698,3.081975664289474
ok,ude_sir_h8,14,35,-208.58191667124282,1.2507491819293508e-05,13,19.09539319999749,-138.58191667124282,2381.4180833287573,-82.19978972869497,276129.77856265864,138107.9498125002,-201.1058059860778,-179.27260473516102,-195.08410567625617,-188.5432303352256,-182.00235499419497,-168.9206043121338,3.7380553425825194,26.16350136412238,3.145810571959419
ok,ude_sir_h8,15,35,-212.2976797410527,3.0313626651196404e-05,14,17.341056599994772,-142.2976797410527,2377.702320258947,-85.91555279850483,265106.14326176146,132611.12322332928,-204.4140943182497,-178.97059058634116,-198.06418983152258,-191.35598680921436,-184.64778378690616,-171.23137774228974,3.941792711401494,26.832812089232846,6.494277065478694
ok,ude_sir_h8,16,35,-224.80544237243217,4.521896735237132e-05,12,18.263003000000026,-154.80544237243217,2365.194557627568,-98.42331542988431,89618.81090151997,44868.25278842302,-217.28648866348567,-196.20969514017025,-211.23028005644338,-204.76027121265253,-198.2902623688617,-185.35024468128,3.7594768544732444,25.880035375163363,2.7157118570985457
ok,ude_sir_h8,17,35,-213.78112429147956,3.481055291268992e-05,13,17.28437359999225,-143.78112429147956,2376.2188757085205,-87.3989973489317,145213.61603923488,72665.63815689948,-206.43355548586635,-183.6555464630722,-200.51539038419222,-193.80713594349916,-187.0988815028061,-173.68237262141997,3.6737844028066093,26.833017762772233,3.2925600656351266
ok,ude_sir_h8,18,35,-206.644418979868,3.2774882508724296e-05,12,17.293627499995637,-136.644418979868,2383.355581020132,-80.26229203732014,134580.35638340987,67331.24355079536,-199.13395796704518,-177.34562836356315,-193.08458987815897,-186.42664397119316,-179.76869806422738,-166.4528062502958,3.755230506411414,26.631783627863182,2.6670069884416807
ok,ude_sir_h8,19,35,-198.93125780984084,3.1258049824151015e-05,11,18.01137540000491,-128.93125780984084,2391.0687421901594,-72.54913086729299,142315.76848905726,71199.44841695638,-192.39903685817603,-169.3729568002597,-187.13760098798267,-180.57912381583097,-174.02064664367924,-160.90369229937585,3.266110475832405,26.233908688606824,3.3243923209743294
