scenario,seed,criterion,selected,truth,correct
missing_neural_feedback,1,gic_vol_025,tv_sir,ude_sir_h2,0
missing_neural_feedback,1,gic_vol_050,tv_sir,ude_sir_h2,0
missing_neural_feedback,1,gic_vol_100,tv_sir,ude_sir_h2,0
missing_neural_feedback,1,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,2,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,2,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,2,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,2,blocked_validation,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,2,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,2,ogic_p,tv_sir,ude_sir_h2,0
missing_neural_feedback,2,gic_eff,tv_sir,ude_sir_h2,0
missing_neural_feedback,2,gic_vol_025,tv_sir,ude_sir_h2,0
missing_neural_feedback,2,gic_vol_050,tv_sir,ude_sir_h2,0
missing_neural_feedback,2,gic_vol_100,tv_sir,ude_sir_h2,0
missing_neural_feedback,2,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,3,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,3,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,3,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,3,blocked_validation,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,3,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,3,ogic_p,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,3,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,3,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,3,gic_vol_050,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,3,gic_vol_100,neural_ode_h2,ude_sir_h2,0
missing_neural_feedback,3,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,4,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,4,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,4,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,4,blocked_validation,tv_sir,ude_sir_h2,0
missing_neural_feedback,4,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,4,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,4,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,4,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,4,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,4,gic_vol_100,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,4,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,5,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,5,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,5,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,5,blocked_validation,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,5,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,5,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,5,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,5,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,5,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,5,gic_vol_100,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,5,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,6,aic,tv_sir,ude_sir_h2,0
missing_neural_feedback,6,aicc,tv_sir,ude_sir_h2,0
missing_neural_feedback,6,bic,tv_sir,ude_sir_h2,0
missing_neural_feedback,6,blocked_validation,tv_sir,ude_sir_h2,0
missing_neural_feedback,6,waic_laplace,tv_sir,ude_sir_h2,0
missing_neural_feedback,6,ogic_p,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,6,gic_eff,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,6,gic_vol_025,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,6,gic_vol_050,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,6,gic_vol_100,ude_sir_h2,ude_sir_h2,1
missing_neural_feedback,6,ogic_e,tv_sir,ude_sir_h2,0
missing_neural_feedback,7,aic,tv_sir,ude_sir_h2,0
