scenario,seed,criterion,candidate,weight
early_seir_infected_only,3,gic_eff,sir,0.31391396372133507
early_seir_infected_only,3,gic_eff,tv_sir,0.10010146987391953
early_seir_infected_only,3,gic_eff,ude_sir_h2,0.312442165805956
early_seir_infected_only,3,gic_vol_025,neural_ode_h2,0.05586445783937661
early_seir_infected_only,3,gic_vol_025,seir,0.2527473545881514
early_seir_infected_only,3,gic_vol_025,sir,0.32206091916391877
early_seir_infected_only,3,gic_vol_025,tv_sir,0.05100208684678942
early_seir_infected_only,3,gic_vol_025,ude_sir_h2,0.31832518156176376
early_seir_infected_only,3,gic_vol_050,neural_ode_h2,0.062482215735518584
early_seir_infected_only,3,gic_vol_050,seir,0.2759343513596481
early_seir_infected_only,3,gic_vol_050,sir,0.3211285761182174
early_seir_infected_only,3,gic_vol_050,tv_sir,0.02525509290262357
early_seir_infected_only,3,gic_vol_050,ude_sir_h2,0.3151997638839923
early_seir_infected_only,3,gic_vol_100,neural_ode_h2,0.0750441511906202
early_seir_infected_only,3,gic_vol_100,seir,0.31576415768036303
early_seir_infected_only,3,gic_vol_100,sir,0.3065346441914095
early_seir_infected_only,3,gic_vol_100,tv_sir,0.00594551910137539
early_seir_infected_only,3,gic_vol_100,ude_sir_h2,0.29671152783623195
early_seir_infected_only,3,ogic_e,neural_ode_h2,1.0380190672013525e-05
early_seir_infected_only,3,ogic_e,seir,0.29735342998179354
early_seir_infected_only,3,ogic_e,sir,0.3421542997117265
early_seir_infected_only,3,ogic_e,tv_sir,0.027731318632902246
early_seir_infected_only,3,ogic_e,ude_sir_h2,0.33275057148290565
early_seir_infected_only,4,aic,neural_ode_h2,4.5721982086113154e-07
early_seir_infected_only,4,aic,seir,0.481455785741084
early_seir_infected_only,4,aic,sir,0.3715698129626188
early_seir_infected_only,4,aic,tv_sir,0.1469280361282315
early_seir_infected_only,4,aic,ude_sir_h2,4.5907948244718626e-05
early_seir_infected_only,4,aicc,neural_ode_h2,6.601192833714023e-98
early_seir_infected_only,4,aicc,seir,0.4070057063484655
early_seir_infected_only,4,aicc,sir,0.5381897061765418
early_seir_infected_only,4,aicc,tv_sir,0.054804587474992617
early_seir_infected_only,4,aicc,ude_sir_h2,4.914830566597897e-19
early_seir_infected_only,4,bic,neural_ode_h2,5.785828302631741e-09
early_seir_infected_only,4,bic,seir,0.4267932146276295
early_seir_infected_only,4,bic,sir,0.48469331444458374
early_seir_infected_only,4,bic,tv_sir,0.08851161406317083
early_seir_infected_only,4,bic,ude_sir_h2,1.8510787876623537e-06
early_seir_infected_only,4,blocked_validation,neural_ode_h2,2.6995527967597426e-06
early_seir_infected_only,4,blocked_validation,seir,0.22298824720590238
early_seir_infected_only,4,blocked_validation,sir,0.5123055564546072
early_seir_infected_only,4,blocked_validation,tv_sir,0.026660925757082062
early_seir_infected_only,4,blocked_validation,ude_sir_h2,0.23804257102961157
early_seir_infected_only,4,waic_laplace,neural_ode_h2,5.680668558081668e-08
early_seir_infected_only,4,waic_laplace,seir,9.058900995068575e-10
early_seir_infected_only,4,waic_laplace,sir,1.0369474717962272e-19
early_seir_infected_only,4,waic_laplace,tv_sir,0.9999999422874244
early_seir_infected_only,4,waic_laplace,ude_sir_h2,1.0481360219131604e-49
early_seir_infected_only,4,ogic_p,neural_ode_h2,0.014135692271561272
early_seir_infected_only,4,ogic_p,seir,0.48148199404897246
early_seir_infected_only,4,ogic_p,sir,0.18612681798152853
early_seir_infected_only,4,ogic_p,tv_sir,0.1320617591391567
early_seir_infected_only,4,ogic_p,ude_sir_h2,0.18619373655878102
early_seir_infected_only,4,gic_eff,neural_ode_h2,0.01097268061005835
early_seir_infected_only,4,gic_eff,seir,0.4824691839187934
early_seir_infected_only,4,gic_eff,sir,0.21012471367692334
early_seir_infected_only,4,gic_eff,tv_sir,0.08629703539747886
early_seir_infected_only,4,gic_eff,ude_sir_h2,0.21013638639674606
early_seir_infected_only,4,gic_vol_025,neural_ode_h2,0.01044573743426983
early_seir_infected_only,4,gic_vol_025,seir,0.5094112280923027
early_seir_infected_only,4,gic_vol_025,sir,0.22015213071765322
early_seir_infected_only,4,gic_vol_025,tv_sir,0.041234176511460836
early_seir_infected_only,4,gic_vol_025,ude_sir_h2,0.2187567272443134
early_seir_infected_only,4,gic_vol_050,neural_ode_h2,0.009693115722432406
early_seir_infected_only,4,gic_vol_050,seir,0.5242825127710553
early_seir_infected_only,4,gic_vol_050,sir,0.22483637619240204
early_seir_infected_only,4,gic_vol_050,tv_sir,0.019205105636947866
early_seir_infected_only,4,gic_vol_050,ude_sir_h2,0.22198288967716232
early_seir_infected_only,4,gic_vol_100,neural_ode_h2,0.00809616957848551
early_seir_infected_only,4,gic_vol_100,seir,0.5386748555567624
early_seir_infected_only,4,gic_vol_100,sir,0.22746865414920928
early_seir_infected_only,4,gic_vol_100,tv_sir,0.00404113224717859
early_seir_infected_only,4,gic_vol_100,ude_sir_h2,0.2217191884683642
early_seir_infected_only,4,ogic_e,neural_ode_h2,2.1706031538729434e-07
early_seir_infected_only,4,ogic_e,seir,0.5791688913266707
early_seir_infected_only,4,ogic_e,sir,0.2011826768693466
early_seir_infected_only,4,ogic_e,tv_sir,0.023004435284222313
early_seir_infected_only,4,ogic_e,ude_sir_h2,0.196643779459445
early_seir_infected_only,5,aic,neural_ode_h2,2.842209359777378e-06
early_seir_infected_only,5,aic,seir,0.2626817777116163
early_seir_infected_only,5,aic,sir,0.6134058817337898
early_seir_infected_only,5,aic,tv_sir,0.1238336837449142
early_seir_infected_only,5,aic,ude_sir_h2,7.581460031986296e-05
early_seir_infected_only,5,aicc,neural_ode_h2,3.5475151401490333e-97
early_seir_infected_only,5,aicc,seir,0.19197507981995027
early_seir_infected_only,5,aicc,sir,0.7680928474383144
early_seir_infected_only,5,aicc,tv_sir,0.039932072741735394
early_seir_infected_only,5,aicc,ude_sir_h2,7.016884678063076e-19
early_seir_infected_only,5,bic,neural_ode_h2,3.247187178081063e-08
early_seir_infected_only,5,bic,seir,0.21023344577346495
early_seir_infected_only,5,bic,sir,0.7224125917835371
early_seir_infected_only,5,bic,tv_sir,0.06735117002480003
early_seir_infected_only,5,bic,ude_sir_h2,2.7599463260052297e-06
early_seir_infected_only,5,blocked_validation,neural_ode_h2,0.000387474445237994
early_seir_infected_only,5,blocked_validation,seir,0.589372913234005
early_seir_infected_only,5,blocked_validation,sir,0.2159854677263144
early_seir_infected_only,5,blocked_validation,tv_sir,1.687927322672749e-27
early_seir_infected_only,5,blocked_validation,ude_sir_h2,0.19425414459444257
early_seir_infected_only,5,waic_laplace,neural_ode_h2,0.9999747158956801
